slip,lateral_force
[0.063],[52.18]
[0.06],[54.29]
[0.063],[55.86]
[0.069],[54.63]
[0.06],[49.65]
[0.072],[48.09]
[0.069],[52.99]
[0.06],[54.47]
[0.064],[54.66]
[0.06],[51.19]
[0.064],[52.98]
[0.058],[50.86]
[0.066],[52.35]
[0.064],[53.27]
[0.064],[53.94]
[0.069],[54.59]
[0.064],[52.99]
[0.063],[50.69]
[0.061],[52.42]
[0.064],[53.31]
[0.063],[54.77]
[0.061],[53.95]
[0.061],[54.89]
[0.06],[52.]
[0.061],[50.42]
[0.061],[51.52]
[0.061],[52.73]
[0.069],[55.28]
[0.063],[52.59]
[0.066],[49.6]
[0.069],[49.64]
[0.064],[50.92]
[0.067],[54.21]
[0.066],[54.6]
[0.067],[53.21]
[0.06],[51.57]
[0.064],[50.2]
[0.064],[52.98]
[0.064],[56.27]
[0.064],[55.39]
[0.066],[54.57]
[0.064],[52.96]
[0.058],[52.98]
[0.066],[53.1]
[0.061],[55.39]
[-3.944],[986.62]
[-3.941],[959.91]
[-3.945],[942.39]
[-3.934],[941.19]
[-3.94],[960.78]
[-3.944],[990.55]
[-3.943],[993.59]
[-3.944],[967.7]
[-3.941],[946.18]
[-3.94],[942.49]
[-3.943],[960.78]
[-3.94],[988.49]
[-3.943],[995.15]
[-3.948],[973.23]
[-3.945],[951.66]
[-3.941],[943.02]
[-3.937],[950.33]
[-3.943],[979.71]
[-3.94],[1000.05]
[-3.937],[983.67]
[-3.938],[956.23]
[-3.943],[943.53]
[-3.94],[952.26]
[-3.938],[978.29]
[-3.943],[999.43]
[-3.943],[987.92]
[-3.944],[962.04]
[-3.945],[945.61]
[-3.945],[944.67]
[-3.947],[968.52]
[-3.941],[996.94]
[-3.943],[992.06]
[-3.941],[961.99]
[-3.935],[941.52]
[-3.94],[941.85]
[-3.944],[963.07]
[-3.941],[990.08]
[-3.943],[990.17]
[-3.937],[966.88]
[-3.944],[946.12]
[-3.937],[940.95]
[-3.937],[953.67]
[-3.947],[984.4]
[-3.938],[995.7]
[-3.944],[975.97]
[-3.938],[948.93]
[-3.944],[938.2]
[-3.937],[947.55]
[-3.938],[980.81]
[-3.94],[1002.9]
[-3.943],[987.19]
[-3.944],[958.71]
[-3.947],[944.51]
[-3.944],[950.32]
[-3.938],[977.4]
[-3.943],[1006.42]
[-3.938],[999.07]
[-3.941],[967.65]
[-3.929],[947.85]
[-3.913],[948.94]
[-3.878],[972.81]
[-3.852],[999.45]
[-3.811],[997.28]
[-3.779],[967.66]
[-3.732],[947.8]
[-3.694],[940.47]
[-3.659],[949.11]
[-3.624],[972.21]
[-3.584],[976.84]
[-3.532],[953.44]
[-3.481],[924.81]
[-3.425],[906.47]
[-3.358],[909.7]
[-3.296],[931.18]
[-3.235],[940.54]
[-3.165],[918.09]
[-3.093],[886.76]
[-3.02],[865.68]
[-2.934],[859.65]
[-2.856],[870.38]
[-2.772],[883.33]
[-2.69],[869.57]
