slip,lateral_force
[0.07],[52.99]
[0.069],[50.38]
[0.067],[46.55]
[0.072],[45.91]
[0.066],[49.06]
[0.067],[51.62]
[0.064],[50.27]
[0.07],[48.31]
[0.064],[46.57]
[0.064],[46.56]
[0.067],[49.11]
[0.066],[48.97]
[0.064],[49.57]
[0.064],[49.68]
[0.064],[47.19]
[0.066],[46.51]
[0.07],[47.11]
[0.069],[48.34]
[0.067],[50.9]
[0.067],[50.26]
[0.063],[47.81]
[0.067],[47.28]
[0.069],[47.05]
[0.067],[48.86]
[0.066],[52.33]
[0.07],[50.26]
[0.064],[47.07]
[0.061],[48.61]
[0.069],[49.15]
[0.066],[49.63]
[0.069],[49.48]
[0.061],[50.2]
[0.064],[50.46]
[0.066],[48.59]
[0.067],[45.06]
[0.067],[47.5]
[0.064],[50.16]
[0.063],[50.86]
[0.066],[48.28]
[0.069],[45.79]
[0.064],[46.48]
[0.066],[46.99]
[0.067],[50.21]
[0.066],[51.54]
[0.064],[50.38]
[-3.938],[1453.17]
[-3.937],[1468.32]
[-3.94],[1467.47]
[-3.937],[1456.98]
[-3.941],[1448.09]
[-3.944],[1445.44]
[-3.937],[1456.55]
[-3.938],[1470.4]
[-3.935],[1468.9]
[-3.937],[1457.19]
[-3.937],[1453.6]
[-3.94],[1450.96]
[-3.935],[1456.64]
[-3.94],[1469.82]
[-3.935],[1471.66]
[-3.938],[1461.87]
[-3.94],[1455.75]
[-3.937],[1448.83]
[-3.935],[1454.5]
[-3.935],[1467.68]
[-3.934],[1472.41]
[-3.937],[1463.96]
[-3.937],[1458.49]
[-3.937],[1453.79]
[-3.937],[1453.05]
[-3.935],[1464.99]
[-3.937],[1473.17]
[-3.94],[1469.5]
[-3.938],[1459.8]
[-3.943],[1453.04]
[-3.937],[1450.4]
[-3.937],[1459.4]
[-3.94],[1473.15]
[-3.937],[1471.69]
[-3.94],[1460.57]
[-3.94],[1452.96]
[-3.935],[1450.37]
[-3.94],[1458.8]
[-3.937],[1472.52]
[-3.937],[1471.62]
[-3.943],[1461.92]
[-3.938],[1455.77]
[-3.935],[1448.21]
[-3.944],[1456.76]
[-3.937],[1473.25]
[-3.937],[1473.74]
[-3.937],[1460.47]
[-3.938],[1454.38]
[-3.935],[1453.79]
[-3.932],[1458.76]
[-3.94],[1469.17]
[-3.938],[1472.46]
[-3.935],[1464.65]
[-3.938],[1460.58]
[-3.935],[1455.13]
[-3.937],[1455.34]
[-3.934],[1466.42]
[-3.928],[1473.82]
[-3.922],[1468.27]
[-3.902],[1457.15]
[-3.874],[1449.58]
[-3.84],[1451.76]
[-3.809],[1459.48]
[-3.77],[1463.44]
[-3.729],[1456.46]
[-3.698],[1444.]
[-3.657],[1429.44]
[-3.622],[1419.39]
[-3.581],[1421.51]
[-3.53],[1429.71]
[-3.476],[1419.24]
[-3.422],[1397.01]
[-3.361],[1380.4]
[-3.301],[1373.01]
[-3.236],[1366.84]
[-3.168],[1361.92]
[-3.095],[1350.8]
[-3.02],[1327.17]
[-2.943],[1305.73]
[-2.867],[1287.16]
[-2.78],[1271.3]
[-2.694],[1260.95]
[-2.618],[1240.62]
[-2.53],[1217.68]
[-2.459],[1189.94]
[-2.377],[1168.6]
[-2.299],[1140.3]
[-2.216],[1119.65]
[-2.133],[1096.5]
[-2.048],[1079.76]
[-1.966],[1052.74]
[-1.884],[1016.22]
[-1.799],[980.83]
[-1.716],[958.75]
[-1.637],[941.27]
[-1.554],[913.4]
[-1.472],[881.54]
[-1.393],[840.6]
[-1.307],[809.67]
[-1.228],[779.87]
[-1.142],[758.97]
[-1.06],[724.07]
[-0.972],[693.64]
[-0.889],[652.01]
[-0.804],[616.16]
[-0.712],[582.72]
[-0.646],[550.17]
[-0.563],[516.72]
[-0.484],[474.97]
[-0.406],[445.25]
[-0.325],[410.11]
[-0.237],[367.17]
[-0.159],[322.64]
[-0.082],[294.14]
[0.007],[254.61]
[0.077],[220.43]
[0.156],[174.14]
[0.232],[127.81]
[0.307],[87.62]
[0.39],[49.71]
[0.468],[13.82]
[0.551],[-32.03]
[0.637],[-78.39]
[0.721],[-119.77]
[0.803],[-160.01]
[0.881],[-199.79]
[0.96],[-252.6]
[1.044],[-298.48]
[1.123],[-336.48]
[1.2],[-373.07]
[1.283],[-412.48]
[1.365],[-459.78]
[1.449],[-504.45]
[1.536],[-539.89]
[1.618],[-569.7]
[1.699],[-603.35]
[1.773],[-644.93]
[1.851],[-689.55]
[1.927],[-722.34]
[2.01],[-748.83]
[2.09],[-772.87]
[2.171],[-805.2]
[2.263],[-843.44]
[2.342],[-872.01]
[2.424],[-901.24]
[2.506],[-931.06]
[2.579],[-961.59]
[2.658],[-982.83]
[2.738],[-1007.65]
[2.82],[-1038.26]
[2.906],[-1070.31]
[2.979],[-1098.79]
[3.067],[-1112.68]
[3.143],[-1129.28]
[3.225],[-1144.69]
[3.302],[-1183.8]
[3.386],[-1211.58]
[3.47],[-1238.15]
[3.551],[-1241.53]
[3.633],[-1244.92]
[3.72],[-1265.54]
[3.805],[-1302.81]
[3.884],[-1339.89]
[3.972],[-1347.55]
[4.057],[-1346.97]
[4.133],[-1341.28]
[4.216],[-1375.02]
[4.295],[-1416.6]
[4.38],[-1435.44]
[4.459],[-1433.51]
[4.542],[-1432.16]
[4.627],[-1437.63]
[4.707],[-1456.68]
[4.792],[-1496.34]
[4.871],[-1510.85]
[4.951],[-1515.2]
[5.034],[-1515.26]
[5.116],[-1512.46]
[5.198],[-1521.82]
[5.28],[-1559.93]
[5.36],[-1588.53]
[5.448],[-1584.35]
[5.532],[-1581.86]
[5.613],[-1567.8]
[5.694],[-1571.09]
[5.771],[-1610.45]
[5.853],[-1643.83]
[5.935],[-1648.13]
[6.018],[-1631.12]
[6.1],[-1607.39]
[6.185],[-1602.94]
[6.267],[-1651.32]
[6.353],[-1693.02]
[6.433],[-1686.86]
[6.512],[-1660.59]
[6.591],[-1635.65]
[6.669],[-1643.1]
[6.754],[-1685.91]
[6.833],[-1719.14]
[6.916],[-1709.63]
[6.995],[-1688.16]
[7.101],[-1669.43]
[7.163],[-1667.27]
[7.246],[-1701.88]
[7.325],[-1734.36]
[7.41],[-1728.24]
[7.487],[-1715.16]
[7.549],[-1702.12]
[7.65],[-1683.88]
[7.74],[-1704.55]
[7.821],[-1742.01]
[7.908],[-1752.4]
[7.993],[-1739.27]
[8.074],[-1720.05]
[8.158],[-1688.02]
[8.234],[-1696.89]
[8.313],[-1748.08]
[8.4],[-1775.94]
[8.48],[-1758.02]
[8.56],[-1722.09]
[8.644],[-1690.77]
[8.726],[-1710.79]
[8.81],[-1762.65]
[8.886],[-1782.11]
[8.965],[-1757.34]
[9.043],[-1723.4]
[9.116],[-1701.83]
[9.199],[-1715.58]
[9.284],[-1754.33]
[9.364],[-1772.95]
[9.455],[-1753.28]
[9.547],[-1728.85]
[9.633],[-1708.76]
[9.723],[-1705.97]
[9.809],[-1733.56]
[9.888],[-1757.01]
[9.975],[-1750.82]
[10.06],[-1736.42]
[10.138],[-1716.32]
[10.22],[-1696.85]
[10.301],[-1707.09]
[10.383],[-1740.2]
[10.464],[-1756.93]
