slip,lateral_force
[0.072],[-5.11]
[0.061],[-7.87]
[0.06],[-8.66]
[0.063],[-7.31]
[0.064],[-7.94]
[0.066],[-5.96]
[0.061],[-7.81]
[0.063],[-6.46]
[0.064],[-6.52]
[0.064],[-7.29]
[0.063],[-9.34]
[0.061],[-8.06]
[0.064],[-7.25]
[0.061],[-7.16]
[0.066],[-7.91]
[0.064],[-5.88]
[0.06],[-7.38]
[0.069],[-9.45]
[0.063],[-7.11]
[0.06],[-6.48]
[0.064],[-5.81]
[0.063],[-6.02]
[0.061],[-9.41]
[0.061],[-10.85]
[0.06],[-7.32]
[0.064],[-3.59]
[0.072],[-5.87]
[0.066],[-7.94]
[0.058],[-9.41]
[0.061],[-7.99]
[0.063],[-7.32]
[0.067],[-5.73]
[0.061],[-7.72]
[0.063],[-7.94]
[0.063],[-8.]
[0.054],[-7.96]
[0.064],[-8.05]
[0.066],[-7.25]
[0.061],[-7.86]
[0.067],[-7.23]
[0.064],[-7.28]
[0.061],[-9.3]
[0.064],[-8.77]
[0.06],[-8.55]
[0.063],[-6.48]
[-3.94],[593.84]
[-3.941],[540.58]
[-3.94],[514.05]
[-3.94],[518.1]
[-3.94],[566.6]
[-3.94],[617.03]
[-3.94],[609.75]
[-3.943],[552.4]
[-3.938],[516.83]
[-3.943],[511.89]
[-3.943],[550.03]
[-3.938],[612.41]
[-3.941],[618.77]
[-3.94],[569.59]
[-3.94],[525.95]
[-3.934],[515.39]
[-3.938],[539.68]
[-3.941],[598.62]
[-3.937],[623.59]
[-3.938],[584.16]
[-3.94],[535.6]
[-3.937],[515.34]
[-3.938],[527.94]
[-3.94],[583.32]
[-3.94],[624.35]
[-3.944],[598.71]
[-3.94],[543.94]
[-3.94],[517.52]
[-3.938],[518.78]
[-3.937],[562.58]
[-3.94],[615.21]
[-3.944],[609.78]
[-3.941],[557.82]
[-3.937],[521.11]
[-3.941],[514.08]
[-3.94],[546.5]
[-3.938],[607.55]
[-3.938],[619.55]
[-3.94],[572.37]
[-3.937],[525.11]
[-3.935],[510.54]
[-3.944],[531.26]
[-3.94],[591.6]
[-3.94],[623.59]
[-3.938],[586.89]
[-3.938],[532.93]
[-3.943],[511.23]
[-3.941],[520.9]
[-3.941],[574.22]
[-3.94],[620.75]
[-3.937],[601.48]
[-3.937],[544.05]
[-3.938],[515.42]
[-3.94],[516.05]
[-3.94],[558.26]
[-3.94],[614.46]
[-3.94],[616.1]
[-3.931],[563.43]
[-3.921],[521.03]
[-3.903],[509.85]
[-3.88],[535.67]
[-3.847],[593.73]
[-3.817],[615.41]
[-3.776],[573.19]
[-3.742],[527.46]
[-3.709],[505.8]
[-3.668],[513.94]
[-3.633],[567.32]
[-3.59],[608.37]
[-3.545],[582.85]
[-3.497],[522.53]
[-3.44],[488.58]
[-3.381],[490.41]
[-3.33],[539.09]
[-3.258],[586.16]
[-3.194],[571.13]
[-3.118],[515.57]
[-3.041],[477.53]
[-2.963],[469.67]
[-2.878],[495.33]
[-2.796],[541.14]
[-2.71],[547.44]
[-2.628],[501.1]
[-2.545],[455.37]
[-2.465],[440.7]
[-2.389],[452.4]
[-2.308],[481.4]
[-2.223],[493.29]
[-2.139],[467.73]
[-2.055],[432.47]
[-1.973],[408.75]
[-1.889],[393.38]
[-1.805],[405.83]
[-1.715],[429.44]
[-1.642],[425.53]
[-1.557],[390.12]
[-1.475],[352.11]
[-1.396],[326.18]
[-1.317],[332.35]
[-1.229],[355.26]
[-1.143],[353.98]
[-1.06],[320.22]
[-0.972],[281.9]
[-0.881],[256.77]
[-0.805],[253.42]
[-0.718],[261.07]
[-0.639],[254.24]
[-0.56],[225.89]
[-0.484],[200.25]
[-0.402],[179.27]
[-0.32],[159.93]
[-0.241],[143.22]
[-0.156],[123.78]
[-0.079],[104.49]
[0.006],[85.21]
[0.088],[62.13]
[0.165],[29.37]
[0.235],[-5.19]
[0.314],[-28.84]
[0.389],[-43.88]
[0.472],[-61.03]
[0.554],[-88.26]
[0.634],[-125.1]
[0.716],[-155.]
[0.8],[-175.07]
[0.881],[-200.43]
[0.96],[-226.78]
[1.036],[-244.92]
[1.114],[-255.38]
[1.196],[-269.86]
[1.278],[-302.6]
[1.362],[-339.17]
[1.449],[-354.45]
[1.532],[-343.94]
[1.612],[-334.99]
[1.699],[-347.54]
[1.773],[-395.48]
[1.852],[-438.33]
[1.928],[-439.67]
[2.004],[-414.64]
[2.089],[-395.26]
[2.172],[-406.44]
[2.259],[-459.01]
[2.346],[-507.68]
[2.415],[-502.78]
[2.511],[-466.48]
[2.589],[-447.94]
[2.663],[-453.57]
[2.738],[-493.19]
[2.826],[-547.24]
[2.899],[-556.7]
[2.988],[-522.66]
[3.07],[-492.98]
[3.15],[-471.53]
[3.234],[-498.63]
[3.317],[-574.29]
