slip,lateral_force
[0.056],[167.82]
[0.066],[170.07]
[0.06],[174.46]
[0.056],[175.74]
[0.058],[173.83]
[0.057],[170.25]
[0.06],[167.1]
[0.063],[170.23]
[0.063],[173.06]
[0.056],[172.96]
[0.061],[173.88]
[0.061],[170.9]
[0.058],[168.47]
[0.054],[169.62]
[0.057],[170.4]
[0.063],[173.56]
[0.058],[175.12]
[0.058],[173.41]
[0.06],[169.76]
[0.06],[168.23]
[0.067],[171.78]
[0.063],[174.98]
[0.057],[175.12]
[0.064],[174.79]
[0.064],[170.47]
[0.061],[169.77]
[0.066],[171.96]
[0.06],[175.11]
[0.057],[176.41]
[0.061],[173.98]
[0.063],[167.67]
[0.061],[168.52]
[0.06],[170.77]
[0.06],[173.67]
[0.063],[174.38]
[0.064],[175.32]
[0.058],[170.37]
[0.066],[168.44]
[0.06],[170.12]
[0.057],[171.65]
[0.058],[176.42]
[0.064],[175.94]
[0.061],[170.19]
[0.057],[167.15]
[0.057],[172.22]
[-3.937],[1876.28]
[-3.935],[1864.65]
[-3.941],[1846.77]
[-3.937],[1842.12]
[-3.937],[1851.83]
[-3.94],[1859.18]
[-3.929],[1866.68]
[-3.94],[1862.53]
[-3.935],[1853.53]
[-3.938],[1845.63]
[-3.935],[1842.88]
[-3.941],[1854.52]
[-3.937],[1868.8]
[-3.938],[1868.08]
[-3.938],[1850.17]
[-3.935],[1840.67]
[-3.932],[1842.84]
[-3.937],[1853.14]
[-3.931],[1860.48]
[-3.929],[1864.54]
[-3.934],[1857.14]
[-3.937],[1842.8]
[-3.932],[1833.08]
[-3.932],[1844.09]
[-3.94],[1861.84]
[-3.935],[1869.37]
[-3.938],[1853.65]
[-3.935],[1834.34]
[-3.931],[1835.23]
[-3.934],[1848.32]
[-3.935],[1859.85]
[-3.931],[1861.23]
[-3.937],[1850.16]
[-3.935],[1843.39]
[-3.931],[1838.03]
[-3.934],[1840.15]
[-3.935],[1851.58]
[-3.932],[1861.12]
[-3.937],[1856.4]
[-3.935],[1840.61]
[-3.938],[1832.42]
[-3.934],[1838.]
[-3.934],[1851.64]
[-3.932],[1859.77]
[-3.935],[1854.9]
[-3.934],[1844.1]
[-3.945],[1832.46]
[-3.934],[1831.06]
[-3.932],[1845.41]
[-3.941],[1859.72]
[-3.935],[1857.61]
[-3.94],[1841.3]
[-3.935],[1828.3]
[-3.934],[1831.06]
[-3.937],[1848.29]
[-3.938],[1856.36]
[-3.929],[1854.16]
[-3.934],[1842.59]
[-3.921],[1832.54]
[-3.9],[1827.63]
[-3.874],[1836.59]
[-3.84],[1848.15]
[-3.808],[1843.99]
[-3.77],[1827.57]
[-3.722],[1808.52]
[-3.693],[1795.63]
[-3.652],[1792.77]
[-3.615],[1795.4]
[-3.577],[1792.61]
[-3.535],[1776.85]
[-3.475],[1746.77]
[-3.416],[1722.66]
[-3.358],[1720.06]
[-3.299],[1721.2]
[-3.229],[1710.14]
[-3.162],[1679.69]
[-3.087],[1650.39]
[-3.005],[1617.18]
[-2.931],[1606.94]
[-2.849],[1594.17]
[-2.766],[1579.62]
[-2.685],[1550.39]
[-2.596],[1516.8]
[-2.519],[1483.08]
[-2.443],[1458.79]
[-2.364],[1441.14]
[-2.28],[1413.83]
[-2.204],[1387.66]
[-2.121],[1350.21]
[-2.035],[1323.54]
[-1.954],[1283.74]
[-1.867],[1262.93]
[-1.789],[1228.22]
[-1.706],[1207.13]
[-1.624],[1164.06]
[-1.551],[1127.86]
[-1.466],[1082.49]
[-1.38],[1058.17]
[-1.3],[1026.13]
[-1.222],[995.79]
[-1.134],[956.46]
[-1.051],[907.52]
[-0.965],[871.47]
[-0.884],[837.72]
[-0.801],[808.94]
[-0.724],[763.62]
[-0.645],[729.92]
[-0.567],[678.85]
[-0.487],[638.97]
[-0.402],[595.28]
[-0.32],[570.79]
[-0.243],[529.57]
[-0.158],[485.25]
[-0.082],[441.22]
[0.],[396.32]
[0.076],[356.54]
[0.161],[313.5]
[0.234],[274.69]
[0.307],[227.42]
[0.392],[186.22]
[0.472],[139.93]
[0.555],[91.83]
[0.639],[49.76]
[0.727],[2.77]
[0.81],[-39.33]
[0.892],[-89.09]
[0.971],[-142.2]
[1.048],[-188.14]
[1.123],[-231.14]
[1.209],[-271.01]
[1.292],[-323.01]
[1.374],[-376.13]
[1.462],[-418.84]
[1.547],[-457.92]
[1.63],[-502.26]
[1.709],[-556.2]
[1.786],[-606.93]
[1.858],[-647.63]
[1.934],[-685.93]
[2.014],[-725.75]
[2.105],[-765.87]
[2.185],[-814.06]
[2.263],[-864.09]
[2.345],[-902.9]
[2.428],[-930.17]
[2.507],[-962.82]
[2.583],[-1007.45]
[2.668],[-1059.74]
[2.739],[-1100.01]
[2.827],[-1128.63]
[2.906],[-1151.63]
[2.985],[-1184.69]
[3.071],[-1225.9]
[3.15],[-1261.67]
[3.229],[-1296.48]
[3.308],[-1330.37]
[3.394],[-1359.83]
[3.478],[-1383.13]
[3.551],[-1408.86]
[3.633],[-1447.49]
[3.725],[-1485.02]
[3.809],[-1516.87]
[3.894],[-1535.24]
[3.979],[-1555.18]
[4.061],[-1582.2]
[4.14],[-1618.16]
[4.213],[-1654.19]
[4.299],[-1682.8]
[4.381],[-1698.9]
[4.463],[-1711.11]
[4.543],[-1734.73]
[4.627],[-1765.49]
[4.71],[-1804.73]
[4.79],[-1823.33]
[4.877],[-1833.74]
[4.95],[-1838.58]
[5.037],[-1873.45]
[5.118],[-1901.35]
[5.2],[-1931.62]
[5.279],[-1940.43]
[5.369],[-1951.66]
[5.45],[-1961.19]
[5.526],[-1993.38]
[5.612],[-2012.88]
[5.692],[-2032.86]
[5.773],[-2047.25]
[5.855],[-2058.21]
[5.936],[-2067.46]
[6.015],[-2081.13]
[6.086],[-2103.82]
[6.182],[-2122.1]
[6.251],[-2142.94]
[6.347],[-2146.01]
[6.426],[-2154.9]
[6.507],[-2158.]
[6.591],[-2182.74]
[6.672],[-2202.22]
[6.751],[-2227.4]
[6.833],[-2219.18]
[6.916],[-2221.35]
[6.998],[-2223.38]
[7.077],[-2251.09]
[7.166],[-2276.]
[7.246],[-2293.71]
[7.325],[-2279.38]
[7.401],[-2273.68]
[7.493],[-2288.03]
[7.574],[-2316.75]
[7.656],[-2336.85]
[7.733],[-2344.05]
[7.816],[-2335.58]
[7.904],[-2327.48]
[7.986],[-2347.42]
[8.078],[-2367.65]
[8.151],[-2386.1]
[8.237],[-2387.54]
[8.316],[-2390.29]
[8.401],[-2382.14]
[8.483],[-2395.3]
[8.556],[-2408.27]
[8.641],[-2424.81]
[8.724],[-2430.9]
[8.8],[-2437.16]
[8.888],[-2423.6]
[8.962],[-2422.7]
[9.046],[-2437.36]
[9.117],[-2458.4]
[9.201],[-2476.59]
[9.288],[-2470.84]
[9.356],[-2456.14]
[9.458],[-2450.22]
[9.546],[-2474.03]
[9.639],[-2494.26]
[9.718],[-2505.59]
[9.809],[-2492.24]
[9.888],[-2473.22]
[9.98],[-2470.19]
[10.054],[-2493.03]
[10.138],[-2507.72]
[10.222],[-2512.84]
[10.298],[-2499.58]
[10.388],[-2485.98]
[10.461],[-2487.14]
[10.544],[-2502.47]
[10.624],[-2505.45]
[10.699],[-2505.51]
[10.778],[-2506.18]
[10.85],[-2498.34]
[10.933],[-2484.02]
[11.015],[-2486.85]
[11.104],[-2493.32]
[11.187],[-2500.33]
[11.271],[-2503.74]
[11.339],[-2492.62]
[11.427],[-2468.7]
[11.506],[-2465.78]
[11.586],[-2479.74]
[11.671],[-2494.64]
[11.754],[-2496.11]
[11.838],[-2473.76]
[11.92],[-2449.85]
[12.006],[-2453.15]
[12.082],[-2472.59]
[12.164],[-2477.68]
[12.246],[-2467.5]
[12.33],[-2447.76]
[12.401],[-2436.44]
[12.482],[-2443.18]
[12.56],[-2458.65]
[12.633],[-2460.39]
[12.684],[-2443.89]
[12.708],[-2432.8]
[12.715],[-2443.14]
[12.712],[-2459.56]
[12.677],[-2467.24]
[12.645],[-2446.55]
[12.583],[-2421.92]
[12.507],[-2419.14]
[12.437],[-2434.76]
[12.367],[-2436.54]
[12.289],[-2425.47]
[12.213],[-2418.18]
[12.14],[-2428.76]
[12.056],[-2447.52]
[11.968],[-2441.09]
[11.885],[-2418.81]
[11.791],[-2406.85]
[11.705],[-2419.48]
[11.616],[-2437.83]
[11.516],[-2446.91]
[11.428],[-2438.55]
[11.328],[-2414.59]
[11.231],[-2397.1]
[11.145],[-2408.28]
[11.053],[-2432.2]
[10.972],[-2442.03]
[10.883],[-2430.18]
[10.807],[-2402.31]
[10.722],[-2390.84]
[10.655],[-2413.74]
[10.569],[-2430.01]
[10.494],[-2426.87]
[10.413],[-2419.3]
[10.339],[-2408.56]
[10.256],[-2403.4]
[10.177],[-2402.54]
[10.104],[-2406.34]
[10.019],[-2410.89]
[9.943],[-2423.36]
[9.866],[-2418.54]
[9.775],[-2394.48]
[9.696],[-2383.21]
[9.61],[-2396.72]
[9.519],[-2417.83]
[9.445],[-2429.77]
[9.354],[-2415.74]
[9.275],[-2388.38]
[9.196],[-2374.86]
[9.126],[-2386.2]
[9.052],[-2403.82]
[8.98],[-2410.96]
[8.911],[-2395.55]
[8.832],[-2372.3]
[8.765],[-2360.26]
[8.69],[-2367.95]
[8.614],[-2381.4]
[8.537],[-2389.3]
[8.454],[-2374.58]
[8.376],[-2356.32]
[8.294],[-2344.95]
[8.217],[-2344.18]
[8.132],[-2347.31]
[8.044],[-2349.62]
[7.963],[-2348.92]
[7.881],[-2336.76]
[7.799],[-2314.96]
[7.711],[-2299.55]
[7.634],[-2301.35]
[7.542],[-2313.28]
[7.463],[-2317.57]
[7.378],[-2299.33]
[7.292],[-2271.19]
[7.201],[-2251.44]
[7.123],[-2257.26]
[7.04],[-2270.82]
[6.96],[-2267.42]
[6.876],[-2245.87]
[6.802],[-2217.01]
[6.723],[-2201.5]
[6.645],[-2200.23]
[6.564],[-2206.1]
[6.48],[-2200.66]
[6.394],[-2187.51]
[6.314],[-2164.9]
[6.232],[-2147.27]
[6.16],[-2136.8]
[6.077],[-2135.82]
[5.996],[-2129.74]
[5.922],[-2119.45]
[5.827],[-2098.3]
[5.749],[-2074.3]
[5.672],[-2050.49]
[5.58],[-2041.94]
[5.498],[-2039.4]
[5.422],[-2033.79]
[5.336],[-2009.88]
[5.263],[-1976.24]
[5.187],[-1945.52]
[5.105],[-1941.78]
[5.017],[-1938.32]
[4.939],[-1929.58]
[4.858],[-1895.91]
[4.777],[-1867.26]
[4.69],[-1841.22]
[4.611],[-1836.83]
[4.535],[-1816.29]
[4.457],[-1805.4]
[4.381],[-1771.76]
[4.298],[-1754.25]
[4.217],[-1723.21]
[4.13],[-1708.66]
[4.046],[-1682.43]
[3.973],[-1675.22]
[3.888],[-1651.22]
[3.799],[-1629.12]
[3.728],[-1588.91]
[3.644],[-1567.28]
[3.568],[-1539.61]
[3.492],[-1528.29]
[3.405],[-1508.63]
[3.33],[-1480.2]
[3.245],[-1437.97]
[3.162],[-1409.25]
[3.086],[-1387.29]
[3.005],[-1373.17]
[2.928],[-1344.43]
[2.849],[-1309.87]
[2.775],[-1264.82]
[2.688],[-1237.3]
[2.615],[-1214.7]
[2.536],[-1192.32]
[2.449],[-1159.53]
[2.367],[-1123.48]
[2.291],[-1085.46]
[2.206],[-1050.92]
[2.124],[-1015.78]
[2.042],[-986.39]
[1.963],[-955.04]
[1.896],[-921.06]
[1.814],[-882.41]
[1.734],[-840.84]
[1.655],[-801.53]
[1.573],[-772.22]
[1.485],[-745.73]
[1.411],[-710.41]
[1.335],[-663.53]
[1.251],[-617.07]
[1.174],[-576.25]
[1.093],[-544.82]
[1.004],[-517.16]
[0.924],[-474.14]
[0.849],[-425.94]
[0.763],[-381.9]
[0.678],[-347.47]
[0.601],[-311.29]
[0.519],[-268.48]
[0.443],[-221.31]
[0.363],[-174.56]
[0.288],[-133.93]
[0.203],[-96.7]
[0.13],[-50.77]
[0.042],[-6.]
[-0.044],[40.52]
[-0.118],[82.41]
[-0.203],[123.81]
[-0.281],[168.06]
[-0.364],[219.59]
[-0.444],[267.56]
[-0.526],[313.46]
[-0.611],[352.53]
[-0.694],[398.66]
[-0.784],[447.93]
[-0.865],[495.78]
[-0.949],[544.69]
[-1.034],[585.45]
[-1.114],[632.14]
[-1.199],[681.82]
[-1.273],[725.34]
[-1.357],[763.33]
[-1.433],[805.61]
[-1.51],[856.13]
[-1.59],[898.09]
[-1.683],[927.49]
[-1.756],[960.3]
[-1.832],[1002.19]
[-1.919],[1049.61]
[-1.99],[1084.1]
[-2.061],[1119.58]
[-2.143],[1151.71]
[-2.218],[1181.91]
[-2.302],[1212.9]
[-2.39],[1253.49]
[-2.472],[1292.02]
[-2.555],[1325.41]
[-2.633],[1349.95]
[-2.715],[1373.16]
[-2.795],[1409.92]
[-2.884],[1452.4]
[-2.966],[1483.32]
[-3.057],[1509.86]
[-3.139],[1528.56]
[-3.226],[1561.67]
[-3.307],[1582.24]
[-3.391],[1616.9]
[-3.463],[1644.72]
[-3.539],[1678.19]
[-3.603],[1693.32]
[-3.674],[1715.36]
[-3.75],[1724.92]
[-3.84],[1761.78]
[-3.919],[1794.37]
[-4.011],[1819.51]
[-4.092],[1828.52]
[-4.181],[1836.53]
[-4.263],[1855.28]
[-4.339],[1882.93]
[-4.416],[1920.18]
[-4.491],[1939.35]
[-4.568],[1955.58]
[-4.641],[1952.15]
[-4.725],[1969.92]
