slip,lateral_force
[0.069],[48.24]
[0.064],[51.7]
[0.064],[50.44]
[0.067],[46.32]
[0.066],[47.25]
[0.069],[47.21]
[0.067],[47.58]
[0.064],[49.58]
[0.066],[48.96]
[0.066],[47.66]
[0.066],[45.09]
[0.063],[44.32]
[0.067],[50.38]
[0.063],[52.41]
[0.069],[46.77]
[0.069],[47.62]
[0.066],[47.85]
[0.069],[49.27]
[0.069],[46.18]
[0.067],[48.08]
[0.066],[52.24]
[0.064],[51.06]
[0.066],[48.54]
[0.064],[46.58]
[0.067],[48.4]
[0.066],[49.54]
[0.069],[49.54]
[0.069],[49.]
[0.067],[47.05]
[0.064],[46.54]
[0.07],[45.65]
[0.067],[48.19]
[0.072],[51.63]
[0.069],[48.88]
[0.067],[44.26]
[0.066],[43.84]
[0.066],[46.28]
[0.066],[50.23]
[0.063],[50.95]
[0.061],[45.46]
[0.063],[44.98]
[0.067],[48.51]
[0.063],[49.13]
[0.064],[47.47]
[0.07],[48.13]
[-3.935],[1149.47]
[-3.937],[1163.39]
[-3.937],[1175.76]
[-3.935],[1170.04]
[-3.935],[1155.39]
[-3.94],[1147.92]
[-3.932],[1148.15]
[-3.934],[1158.55]
[-3.938],[1175.79]
[-3.938],[1172.83]
[-3.938],[1158.45]
[-3.938],[1149.39]
[-3.937],[1151.5]
[-3.934],[1164.11]
[-3.935],[1177.22]
[-3.943],[1175.77]
[-3.937],[1161.82]
[-3.937],[1152.17]
[-3.94],[1150.81]
[-3.938],[1159.92]
[-3.937],[1177.24]
[-3.938],[1179.13]
[-3.937],[1163.78]
[-3.934],[1153.62]
[-3.94],[1149.49]
[-3.94],[1157.83]
[-3.934],[1176.61]
[-3.937],[1182.63]
[-3.934],[1167.94]
[-3.937],[1156.94]
[-3.935],[1152.9]
[-3.935],[1155.03]
[-3.932],[1168.96]
[-3.937],[1179.91]
[-3.938],[1170.63]
[-3.934],[1156.97]
[-3.938],[1146.83]
[-3.938],[1148.09]
[-3.935],[1171.02]
[-3.934],[1184.12]
[-3.934],[1169.36]
[-3.926],[1154.28]
[-3.935],[1150.03]
[-3.937],[1154.38]
[-3.937],[1162.71]
[-3.937],[1173.07]
[-3.937],[1170.86]
[-3.941],[1159.74]
[-3.94],[1150.84]
[-3.932],[1145.94]
[-3.935],[1157.86]
[-3.937],[1175.08]
[-3.934],[1173.55]
[-3.947],[1158.96]
[-3.938],[1151.55]
[-3.934],[1148.72]
[-3.935],[1157.85]
[-3.929],[1175.13]
[-3.924],[1175.68]
[-3.903],[1161.06]
[-3.881],[1150.07]
[-3.846],[1145.31]
[-3.817],[1151.03]
[-3.779],[1166.89]
[-3.741],[1170.19]
[-3.707],[1151.39]
[-3.672],[1134.06]
[-3.636],[1127.33]
[-3.599],[1133.02]
[-3.549],[1144.84]
[-3.503],[1143.38]
[-3.447],[1123.09]
[-3.39],[1112.03]
[-3.331],[1107.95]
[-3.263],[1101.1]
[-3.206],[1099.09]
[-3.131],[1100.46]
[-3.054],[1085.83]
[-2.981],[1065.01]
[-2.897],[1053.29]
[-2.818],[1042.34]
[-2.729],[1034.11]
[-2.649],[1026.98]
[-2.573],[1012.33]
[-2.488],[996.39]
[-2.412],[975.67]
[-2.332],[956.36]
[-2.25],[934.32]
[-2.171],[926.]
[-2.083],[916.03]
[-2.],[897.29]
[-1.918],[867.61]
[-1.832],[840.71]
[-1.753],[817.13]
[-1.668],[806.81]
[-1.59],[787.85]
[-1.512],[761.48]
[-1.425],[731.69]
[-1.342],[704.01]
[-1.257],[681.39]
[-1.167],[661.29]
[-1.085],[635.34]
[-0.998],[609.66]
[-0.911],[577.67]
[-0.824],[546.65]
[-0.74],[516.92]
[-0.662],[489.26]
[-0.58],[453.55]
[-0.501],[427.96]
[-0.415],[395.95]
[-0.344],[370.94]
[-0.257],[337.44]
[-0.178],[297.21]
[-0.098],[263.54]
[-0.018],[239.26]
[0.063],[205.21]
[0.134],[170.72]
[0.212],[129.12]
[0.292],[95.98]
[0.37],[63.8]
[0.453],[36.72]
[0.536],[-3.57]
[0.618],[-44.37]
[0.7],[-81.11]
[0.779],[-112.81]
[0.87],[-143.61]
[0.947],[-188.12]
[1.019],[-231.91]
[1.102],[-263.74]
[1.184],[-292.05]
[1.263],[-325.72]
[1.346],[-368.29]
[1.433],[-404.62]
[1.509],[-431.03]
[1.592],[-458.]
[1.672],[-486.21]
[1.751],[-520.19]
[1.833],[-555.07]
[1.906],[-584.99]
[1.984],[-607.31]
[2.07],[-625.27]
[2.149],[-646.57]
[2.232],[-676.29]
[2.317],[-708.31]
[2.396],[-726.52]
[2.476],[-739.1]
[2.554],[-759.97]
[2.63],[-778.55]
[2.712],[-796.42]
[2.796],[-818.63]
[2.88],[-844.62]
[2.963],[-858.36]
[3.049],[-870.9]
[3.13],[-871.48]
[3.206],[-885.83]
[3.291],[-919.11]
[3.371],[-947.05]
[3.45],[-956.9]
[3.536],[-951.88]
[3.618],[-949.84]
[3.703],[-959.28]
[3.788],[-1002.27]
[3.871],[-1028.75]
[3.954],[-1030.97]
[4.04],[-1012.2]
[4.115],[-1008.7]
[4.194],[-1026.38]
[4.283],[-1069.37]
[4.362],[-1092.39]
[4.444],[-1075.17]
[4.532],[-1062.16]
[4.608],[-1054.93]
[4.692],[-1074.28]
[4.776],[-1106.72]
[4.862],[-1128.47]
[4.938],[-1115.33]
[5.02],[-1102.19]
[5.1],[-1095.17]
[5.182],[-1096.34]
[5.264],[-1134.49]
[5.347],[-1158.02]
[5.438],[-1147.82]
[5.513],[-1129.78]
[5.599],[-1120.82]
[5.678],[-1115.67]
[5.76],[-1149.59]
[5.837],[-1185.07]
[5.922],[-1180.31]
[6.01],[-1152.62]
[6.087],[-1130.36]
[6.17],[-1126.73]
[6.255],[-1162.01]
[6.34],[-1204.96]
[6.422],[-1190.65]
[6.512],[-1160.01]
[6.578],[-1142.07]
[6.663],[-1138.47]
[6.746],[-1178.06]
[6.819],[-1209.54]
[6.901],[-1198.1]
[6.986],[-1170.42]
[7.066],[-1158.72]
[7.153],[-1147.45]
[7.233],[-1175.18]
[7.313],[-1207.73]
[7.397],[-1203.63]
[7.479],[-1185.16]
[7.558],[-1178.06]
[7.641],[-1160.58]
[7.726],[-1173.06]
[7.81],[-1208.36]
[7.905],[-1218.7]
[7.98],[-1200.99]
[8.063],[-1178.76]
[8.147],[-1155.81]
[8.227],[-1164.67]
[8.307],[-1208.35]
[8.386],[-1231.18]
[8.47],[-1209.8]
[8.552],[-1180.82]
[8.631],[-1160.54]
[8.712],[-1168.79]
[8.793],[-1209.63]
[8.878],[-1231.87]
[8.954],[-1204.17]
[9.034],[-1172.38]
[9.11],[-1166.09]
[9.195],[-1170.87]
[9.272],[-1196.51]
[9.359],[-1213.68]
[9.445],[-1195.07]
[9.534],[-1172.93]
[9.626],[-1161.17]
[9.717],[-1156.29]
[9.8],[-1173.55]
[9.88],[-1192.84]
[9.967],[-1192.31]
[10.049],[-1172.17]
[10.129],[-1159.17]
[10.209],[-1144.52]
[10.294],[-1151.97]
[10.374],[-1188.69]
[10.456],[-1205.45]
[10.534],[-1175.02]
[10.61],[-1144.54]
[10.684],[-1124.36]
[10.762],[-1138.91]
[10.841],[-1186.67]
[10.921],[-1209.54]
[11.],[-1183.99]
[11.083],[-1152.94]
[11.174],[-1141.07]
[11.257],[-1152.11]
[11.342],[-1180.46]
[11.426],[-1189.4]
[11.502],[-1170.75]
[11.58],[-1150.84]
[11.662],[-1145.32]
[11.741],[-1141.69]
[11.82],[-1156.06]
[11.906],[-1172.67]
[11.988],[-1171.35]
[12.072],[-1158.44]
[12.151],[-1141.69]
[12.231],[-1117.43]
[12.31],[-1120.02]
[12.384],[-1156.04]
[12.462],[-1178.95]
[12.542],[-1163.19]
[12.614],[-1132.02]
[12.668],[-1108.37]
[12.694],[-1102.84]
[12.705],[-1144.52]
[12.693],[-1192.35]
[12.675],[-1193.11]
[12.627],[-1148.75]
[12.573],[-1090.55]
[12.504],[-1082.75]
[12.43],[-1145.82]
[12.363],[-1194.88]
[12.291],[-1180.46]
[12.216],[-1133.55]
[12.145],[-1116.27]
[12.06],[-1131.44]
[11.974],[-1152.82]
[11.89],[-1170.06]
[11.803],[-1169.49]
[11.714],[-1146.66]
[11.632],[-1142.64]
[11.54],[-1139.93]
[11.445],[-1151.5]
[11.352],[-1180.52]
[11.259],[-1180.5]
[11.167],[-1162.69]
[11.076],[-1161.3]
[10.994],[-1159.25]
[10.91],[-1152.88]
[10.828],[-1160.44]
[10.747],[-1182.03]
[10.679],[-1198.01]
[10.591],[-1189.03]
[10.518],[-1164.85]
[10.439],[-1144.08]
[10.358],[-1168.12]
[10.279],[-1215.21]
[10.205],[-1221.52]
[10.127],[-1182.17]
[10.044],[-1157.15]
[9.968],[-1159.29]
[9.885],[-1192.34]
[9.785],[-1219.98]
[9.712],[-1209.83]
[9.629],[-1183.43]
[9.54],[-1181.51]
[9.455],[-1180.78]
[9.375],[-1184.8]
[9.291],[-1201.91]
[9.212],[-1213.12]
[9.138],[-1204.21]
[9.063],[-1194.04]
[8.995],[-1184.18]
[8.916],[-1179.92]
[8.844],[-1199.91]
[8.769],[-1216.6]
[8.696],[-1218.09]
[8.623],[-1209.94]
[8.544],[-1191.13]
[8.468],[-1170.26]
[8.394],[-1185.42]
[8.31],[-1222.04]
[8.226],[-1233.29]
[8.142],[-1211.94]
[8.06],[-1181.44]
[7.976],[-1175.81]
[7.892],[-1211.76]
[7.81],[-1241.5]
[7.726],[-1232.6]
[7.645],[-1203.66]
[7.562],[-1193.22]
[7.477],[-1191.85]
[7.389],[-1202.17]
[7.308],[-1221.48]
[7.217],[-1229.1]
[7.135],[-1220.9]
[7.055],[-1208.57]
[6.97],[-1192.44]
[6.89],[-1191.65]
[6.812],[-1214.5]
[6.733],[-1227.58]
[6.66],[-1223.67]
[6.58],[-1210.65]
[6.501],[-1193.94]
[6.419],[-1181.97]
[6.337],[-1200.57]
[6.252],[-1227.]
[6.17],[-1227.75]
[6.093],[-1204.27]
[6.011],[-1179.31]
[5.944],[-1169.51]
[5.863],[-1199.79]
[5.784],[-1226.82]
[5.697],[-1215.22]
[5.616],[-1189.84]
[5.532],[-1179.98]
[5.447],[-1180.52]
[5.36],[-1190.33]
[5.277],[-1201.27]
[5.204],[-1195.78]
[5.122],[-1186.23]
[5.049],[-1177.13]
[4.97],[-1157.67]
[4.887],[-1149.17]
[4.808],[-1165.92]
[4.729],[-1175.67]
[4.651],[-1168.83]
[4.581],[-1153.02]
[4.489],[-1131.42]
[4.416],[-1120.17]
[4.337],[-1132.66]
[4.254],[-1147.96]
[4.175],[-1136.95]
[4.089],[-1111.31]
[4.004],[-1089.79]
[3.924],[-1077.07]
[3.842],[-1092.25]
[3.763],[-1104.19]
[3.681],[-1093.26]
[3.6],[-1064.93]
[3.524],[-1045.53]
[3.443],[-1036.36]
[3.358],[-1034.]
[3.273],[-1039.1]
[3.194],[-1023.94]
[3.112],[-1010.05]
[3.03],[-989.95]
[2.954],[-972.53]
[2.875],[-954.33]
[2.798],[-950.27]
[2.716],[-942.1]
[2.639],[-931.06]
[2.549],[-906.11]
[2.473],[-878.28]
[2.389],[-858.79]
[2.308],[-848.87]
[2.231],[-839.48]
[2.144],[-819.09]
[2.07],[-793.81]
[1.99],[-762.37]
[1.914],[-744.39]
[1.833],[-724.03]
[1.753],[-706.95]
[1.671],[-684.23]
[1.588],[-655.81]
[1.509],[-630.84]
[1.43],[-605.02]
[1.348],[-581.45]
[1.272],[-549.54]
[1.19],[-527.74]
[1.107],[-498.57]
[1.028],[-476.36]
[0.943],[-443.46]
[0.855],[-413.66]
[0.776],[-380.44]
[0.696],[-353.62]
[0.618],[-328.75]
[0.536],[-294.73]
[0.459],[-259.9]
[0.38],[-224.6]
[0.3],[-197.53]
[0.222],[-165.09]
[0.136],[-133.24]
[0.054],[-93.08]
[-0.031],[-56.93]
[-0.107],[-23.42]
[-0.189],[7.69]
[-0.268],[42.74]
[-0.346],[84.27]
[-0.43],[123.01]
[-0.512],[158.55]
[-0.598],[189.28]
[-0.681],[221.09]
[-0.769],[261.09]
[-0.852],[305.27]
[-0.934],[345.58]
[-1.019],[374.64]
[-1.099],[402.6]
[-1.177],[438.03]
[-1.259],[478.79]
[-1.335],[514.5]
[-1.416],[538.24]
[-1.501],[561.15]
[-1.571],[590.35]
[-1.664],[623.04]
[-1.748],[651.99]
[-1.826],[674.54]
[-1.905],[697.52]
[-1.976],[717.04]
[-2.054],[740.75]
[-2.133],[764.99]
[-2.215],[789.8]
[-2.297],[812.56]
[-2.381],[826.34]
[-2.465],[845.9]
[-2.549],[863.24]
[-2.627],[886.99]
[-2.707],[904.93]
[-2.789],[928.32]
[-2.875],[943.42]
[-2.959],[956.1]
[-3.042],[963.]
[-3.127],[976.99]
[-3.215],[1008.26]
[-3.298],[1028.73]
[-3.372],[1034.37]
[-3.448],[1027.4]
[-3.517],[1035.87]
[-3.587],[1056.79]
[-3.66],[1088.69]
[-3.735],[1098.2]
[-3.815],[1090.5]
[-3.902],[1090.56]
[-3.991],[1092.57]
[-4.076],[1115.72]
[-4.163],[1137.2]
[-4.249],[1147.5]
[-4.324],[1132.76]
[-4.402],[1128.77]
[-4.478],[1135.03]
[-4.554],[1149.58]
[-4.631],[1175.36]
[-4.707],[1174.56]
[-4.785],[1160.98]
[-4.863],[1159.23]
[-4.95],[1165.57]
[-5.03],[1173.33]
[-5.109],[1186.47]
[-5.189],[1197.54]
[-5.273],[1189.7]
[-5.358],[1188.31]
[-5.439],[1181.48]
[-5.521],[1185.08]
[-5.603],[1207.93]
[-5.689],[1223.22]
[-5.765],[1211.34]
[-5.844],[1193.11]
[-5.925],[1191.95]
[-6.002],[1196.82]
[-6.084],[1216.89]
[-6.159],[1237.06]
[-6.242],[1223.04]
[-6.324],[1205.68]
[-6.409],[1203.61]
[-6.49],[1212.08]
[-6.572],[1227.41]
[-6.656],[1239.08]
[-6.745],[1230.08]
[-6.825],[1218.89]
[-6.911],[1223.05]
[-6.992],[1223.85]
[-7.074],[1231.58]
[-7.154],[1242.72]
[-7.23],[1236.96]
[-7.308],[1228.49]
[-7.388],[1230.05]
[-7.464],[1223.78]
[-7.544],[1231.56]
[-7.622],[1247.54]
[-7.705],[1255.05]
[-7.789],[1245.98]
[-7.875],[1235.49]
[-7.957],[1227.26]
[-8.047],[1230.8]
[-8.129],[1253.09]
[-8.211],[1262.03]
[-8.294],[1245.25]
[-8.375],[1228.63]
[-8.452],[1221.07]
[-8.524],[1234.33]
[-8.612],[1252.38]
[-8.686],[1257.89]
[-8.771],[1241.88]
[-8.857],[1230.64]
[-8.94],[1234.22]
[-9.022],[1241.21]
[-9.104],[1244.72]
[-9.188],[1249.7]
[-9.265],[1240.54]
[-9.345],[1230.06]
[-9.423],[1229.37]
[-9.506],[1228.75]
[-9.588],[1233.12]
[-9.673],[1244.04]
[-9.755],[1243.98]
[-9.838],[1232.13]
[-9.926],[1225.97]
[-10.],[1217.07]
[-10.079],[1221.92]
[-10.154],[1241.33]
[-10.236],[1249.54]
[-10.317],[1237.6]
[-10.396],[1221.]
[-10.483],[1214.17]
[-10.57],[1224.]
[-10.655],[1237.87]
[-10.734],[1240.59]
[-10.813],[1223.77]
[-10.888],[1213.35]
[-10.986],[1214.85]
[-11.041],[1221.2]
[-11.119],[1228.84]
[-11.193],[1235.14]
[-11.278],[1224.48]
[-11.36],[1214.1]
[-11.447],[1212.82]
[-11.525],[1208.63]
[-11.601],[1212.79]
[-11.681],[1226.08]
[-11.754],[1225.28]
[-11.83],[1212.78]
[-11.915],[1207.27]
[-11.993],[1199.69]
[-12.076],[1205.26]
[-12.161],[1221.22]
[-12.243],[1228.12]
[-12.327],[1219.01]
[-12.408],[1204.42]
[-12.481],[1198.29]
[-12.558],[1203.12]
[-12.634],[1212.22]
[-12.708],[1217.75]
[-12.762],[1209.18]
[-12.8],[1204.6]
[-12.819],[1192.2]
[-12.807],[1186.08]
[-12.772],[1188.09]
[-12.725],[1208.21]
[-12.664],[1217.08]
[-12.605],[1203.8]
[-12.542],[1190.71]
[-12.48],[1186.49]
[-12.417],[1197.04]
[-12.341],[1213.74]
[-12.266],[1213.64]
[-12.183],[1199.62]
[-12.101],[1191.87]
[-12.015],[1189.28]
[-11.933],[1198.98]
[-11.851],[1215.8]
[-11.765],[1218.47]
[-11.68],[1203.03]
[-11.591],[1195.45]
[-11.496],[1199.59]
[-11.407],[1205.38]
[-11.316],[1208.79]
[-11.224],[1211.52]
[-11.138],[1208.68]
[-11.05],[1203.77]
[-10.964],[1196.89]
[-10.889],[1192.14]
[-10.798],[1197.68]
[-10.718],[1215.1]
[-10.624],[1217.8]
[-10.538],[1202.98]
[-10.449],[1194.7]
[-10.36],[1191.33]
[-10.277],[1205.29]
[-10.196],[1227.62]
[-10.116],[1226.82]
[-10.04],[1208.58]
[-9.962],[1196.82]
[-9.885],[1194.81]
[-9.804],[1200.54]
[-9.727],[1211.67]
[-9.642],[1218.49]
[-9.565],[1210.73]
[-9.486],[1204.46]
[-9.405],[1201.04]
[-9.331],[1197.78]
[-9.255],[1206.79]
[-9.179],[1221.17]
[-9.097],[1223.3]
[-9.014],[1210.06]
[-8.935],[1194.82]
[-8.85],[1192.92]
[-8.766],[1209.47]
[-8.692],[1228.94]
[-8.612],[1220.6]
[-8.54],[1199.62]
[-8.467],[1193.36]
[-8.392],[1196.94]
[-8.319],[1207.51]
[-8.237],[1221.4]
[-8.157],[1220.51]
[-8.081],[1209.2]
[-7.996],[1206.57]
[-7.92],[1203.83]
[-7.84],[1207.37]
[-7.761],[1216.53]
[-7.68],[1217.85]
[-7.603],[1213.45]
[-7.517],[1210.7]
[-7.436],[1201.79]
[-7.362],[1194.93]
[-7.274],[1206.15]
[-7.197],[1227.49]
[-7.118],[1226.02]
[-7.042],[1206.53]
[-6.951],[1194.1]
[-6.888],[1201.9]
[-6.803],[1219.89]
[-6.708],[1230.42]
[-6.629],[1213.71]
[-6.539],[1189.85]
[-6.458],[1190.08]
[-6.374],[1198.45]
[-6.293],[1209.66]
[-6.21],[1215.86]
[-6.14],[1207.39]
[-6.058],[1191.37]
[-5.98],[1192.83]
[-5.894],[1192.9]
[-5.812],[1193.63]
[-5.732],[1199.15]
[-5.641],[1204.]
[-5.556],[1195.59]
[-5.474],[1187.95]
[-5.4],[1176.23]
[-5.315],[1170.11]
[-5.232],[1184.79]
[-5.159],[1194.31]
[-5.072],[1184.52]
[-4.991],[1164.47]
[-4.906],[1148.56]
[-4.824],[1152.19]
[-4.749],[1175.72]
[-4.663],[1184.73]
[-4.596],[1160.24]
[-4.521],[1135.38]
[-4.448],[1130.54]
[-4.369],[1137.59]
[-4.29],[1148.87]
[-4.203],[1141.17]
[-4.114],[1125.66]
[-4.024],[1113.86]
[-3.931],[1109.87]
[-3.843],[1105.73]
[-3.76],[1100.3]
[-3.687],[1098.85]
[-3.615],[1098.81]
[-3.539],[1086.87]
[-3.467],[1077.33]
[-3.393],[1056.57]
[-3.307],[1044.87]
[-3.232],[1056.06]
[-3.139],[1058.]
[-3.054],[1044.64]
[-2.969],[1014.84]
[-2.896],[993.51]
[-2.813],[988.1]
[-2.734],[995.12]
[-2.649],[994.36]
[-2.571],[967.17]
[-2.489],[940.77]
[-2.415],[927.64]
[-2.332],[925.07]
[-2.256],[911.9]
[-2.177],[895.89]
[-2.104],[871.38]
[-2.023],[859.01]
[-1.947],[845.82]
[-1.867],[825.98]
[-1.786],[797.51]
[-1.703],[782.26]
[-1.621],[768.91]
[-1.544],[750.68]
[-1.459],[728.07]
[-1.383],[693.47]
[-1.307],[668.68]
[-1.225],[648.37]
[-1.145],[637.94]
[-1.064],[610.8]
[-0.984],[579.77]
[-0.9],[543.68]
[-0.82],[523.82]
[-0.74],[502.23]
[-0.659],[475.64]
[-0.579],[446.44]
[-0.503],[408.25]
[-0.42],[384.87]
[-0.339],[355.84]
[-0.254],[329.56]
[-0.175],[288.37]
[-0.088],[259.87]
[-0.009],[232.17]
[0.075],[196.88]
[0.153],[163.]
[0.23],[123.45]
[0.304],[88.73]
[0.382],[53.84]
[0.46],[27.51]
[0.545],[-9.83]
[0.63],[-50.47]
[0.712],[-92.21]
[0.798],[-119.37]
[0.877],[-151.59]
[0.955],[-192.56]
[1.041],[-231.27]
[1.107],[-270.57]
[1.203],[-303.02]
[1.278],[-338.02]
[1.371],[-367.94]
[1.452],[-405.45]
[1.536],[-440.02]
[1.617],[-469.01]
[1.699],[-494.62]
[1.783],[-526.66]
[1.862],[-562.24]
[1.938],[-592.83]
[2.019],[-611.57]
[2.096],[-627.28]
[2.18],[-654.97]
[2.259],[-687.53]
[2.349],[-712.79]
[2.422],[-726.62]
[2.506],[-741.37]
[2.583],[-750.08]
