slip,lateral_force
[0.072],[13.29]
[0.067],[14.17]
[0.073],[13.94]
[0.066],[14.55]
[0.072],[15.54]
[0.075],[12.35]
[0.069],[15.03]
[0.067],[15.47]
[0.067],[14.51]
[0.072],[14.54]
[0.066],[15.06]
[0.064],[15.59]
[0.069],[14.98]
[0.066],[15.22]
[0.067],[14.43]
[0.061],[14.44]
[0.072],[13.68]
[0.07],[14.27]
[0.067],[15.88]
[0.067],[15.35]
[0.072],[14.37]
[0.066],[12.91]
[0.08],[14.4]
[0.073],[15.89]
[0.063],[15.18]
[0.073],[14.06]
[0.066],[15.06]
[0.073],[15.82]
[0.07],[14.62]
[0.067],[14.47]
[0.069],[15.27]
[0.072],[15.93]
[0.061],[15.]
[0.067],[14.8]
[0.069],[14.66]
[0.07],[14.91]
[0.067],[14.49]
[0.063],[15.15]
[0.069],[15.42]
[0.058],[14.65]
[0.061],[14.57]
[0.072],[15.53]
[0.066],[16.07]
[0.066],[16.43]
[0.064],[15.26]
[-3.944],[458.37]
[-3.94],[462.04]
[-3.94],[490.17]
[-3.935],[512.53]
[-3.937],[500.84]
[-3.937],[470.68]
[-3.934],[457.]
[-3.938],[458.27]
[-3.944],[483.78]
[-3.935],[508.63]
[-3.937],[502.9]
[-3.944],[474.73]
[-3.94],[457.64]
[-3.943],[454.65]
[-3.944],[474.65]
[-3.944],[503.82]
[-3.937],[507.37]
[-3.943],[483.22]
[-3.944],[460.97]
[-3.943],[457.3]
[-3.937],[471.02]
[-3.935],[499.64]
[-3.94],[510.46]
[-3.938],[491.11]
[-3.943],[465.58]
[-3.934],[455.74]
[-3.94],[464.85]
[-3.935],[493.51]
[-3.934],[512.46]
[-3.935],[498.66]
[-3.934],[469.72]
[-3.943],[455.75]
[-3.94],[459.6]
[-3.935],[486.46]
[-3.94],[508.55]
[-3.94],[503.52]
[-3.934],[473.12]
[-3.943],[457.6]
[-3.941],[455.53]
[-3.94],[476.89]
[-3.932],[508.55]
[-3.94],[512.23]
[-3.941],[485.4]
[-3.944],[463.07]
[-3.943],[456.85]
[-3.94],[472.44]
[-3.941],[503.95]
[-3.935],[510.92]
[-3.945],[489.48]
[-3.941],[467.15]
[-3.943],[457.22]
[-3.94],[465.57]
[-3.937],[494.38]
[-3.944],[511.96]
[-3.943],[496.02]
[-3.943],[467.89]
[-3.945],[455.7]
[-3.931],[460.52]
[-3.919],[489.39]
[-3.903],[511.97]
[-3.872],[505.07]
[-3.85],[475.94]
[-3.814],[460.52]
[-3.771],[457.11]
[-3.732],[476.15]
[-3.704],[500.42]
[-3.662],[496.88]
[-3.622],[470.64]
[-3.586],[452.18]
[-3.538],[444.92]
[-3.486],[453.14]
[-3.431],[476.72]
[-3.372],[483.77]
[-3.308],[464.38]
[-3.25],[436.73]
[-3.182],[421.8]
[-3.114],[422.5]
[-3.036],[444.21]
[-2.957],[454.33]
[-2.872],[438.93]
[-2.785],[412.85]
[-2.71],[395.28]
[-2.627],[388.93]
[-2.546],[402.38]
[-2.46],[416.61]
[-2.387],[407.75]
[-2.307],[378.07]
[-2.223],[356.24]
[-2.139],[346.45]
[-2.063],[355.12]
[-1.972],[366.1]
[-1.893],[361.23]
[-1.814],[336.48]
[-1.722],[315.87]
[-1.643],[301.71]
[-1.569],[301.48]
[-1.484],[312.59]
[-1.395],[305.93]
[-1.32],[285.15]
[-1.229],[269.03]
[-1.148],[255.66]
[-1.063],[245.1]
[-0.979],[244.79]
[-0.883],[239.43]
[-0.807],[228.01]
[-0.716],[210.01]
[-0.646],[189.63]
[-0.567],[167.89]
[-0.479],[161.17]
[-0.402],[163.74]
[-0.329],[145.83]
[-0.244],[123.88]
[-0.161],[104.04]
[-0.082],[82.42]
[0.004],[67.57]
[0.077],[54.86]
[0.156],[36.29]
[0.24],[12.]
[0.307],[-5.5]
[0.39],[-21.53]
[0.474],[-37.99]
[0.547],[-58.02]
[0.634],[-82.13]
[0.721],[-102.49]
[0.804],[-110.71]
