slip,lateral_force
[0.072],[140.53]
[0.066],[138.87]
[0.067],[133.95]
[0.063],[135.43]
[0.073],[139.05]
[0.072],[138.94]
[0.069],[139.15]
[0.069],[137.47]
[0.064],[135.27]
[0.064],[134.85]
[0.072],[136.97]
[0.072],[138.31]
[0.066],[140.51]
[0.067],[140.84]
[0.067],[138.5]
[0.067],[135.3]
[0.063],[135.74]
[0.064],[137.75]
[0.067],[141.83]
[0.063],[141.42]
[0.067],[137.73]
[0.064],[134.06]
[0.067],[135.64]
[0.063],[139.3]
[0.067],[141.81]
[0.064],[141.36]
[0.066],[138.31]
[0.063],[133.97]
[0.072],[134.64]
[0.061],[137.9]
[0.066],[141.12]
[0.064],[139.81]
[0.073],[137.59]
[0.067],[133.92]
[0.066],[135.37]
[0.072],[137.94]
[0.069],[139.69]
[0.066],[141.07]
[0.066],[139.63]
[0.066],[138.15]
[0.063],[136.06]
[0.066],[136.96]
[0.063],[139.7]
[0.069],[142.47]
[0.064],[140.99]
[-3.937],[1404.35]
[-3.935],[1417.96]
[-3.941],[1427.23]
[-3.937],[1422.08]
[-3.937],[1412.07]
[-3.934],[1402.27]
[-3.948],[1403.03]
[-3.934],[1419.39]
[-3.935],[1429.91]
[-3.934],[1423.39]
[-3.938],[1414.24]
[-3.937],[1407.81]
[-3.938],[1404.3]
[-3.938],[1416.12]
[-3.943],[1430.2]
[-3.94],[1426.87]
[-3.94],[1416.89]
[-3.937],[1408.32]
[-3.934],[1403.72]
[-3.943],[1414.7]
[-3.935],[1431.61]
[-3.934],[1430.51]
[-3.937],[1419.39]
[-3.94],[1410.28]
[-3.94],[1405.82]
[-3.937],[1411.49]
[-3.934],[1428.28]
[-3.937],[1436.02]
[-3.938],[1422.94]
[-3.935],[1410.9]
[-3.937],[1404.4]
[-3.941],[1413.37]
[-3.937],[1432.51]
[-3.937],[1434.81]
[-3.937],[1422.17]
[-3.941],[1415.71]
[-3.937],[1411.26]
[-3.934],[1411.38]
[-3.932],[1425.06]
[-3.938],[1436.98]
[-3.94],[1430.51]
[-3.937],[1418.4]
[-3.94],[1407.87]
[-3.943],[1407.41]
[-3.937],[1420.27]
[-3.94],[1434.24]
[-3.935],[1430.45]
[-3.937],[1419.57]
[-3.934],[1410.41]
[-3.934],[1407.31]
[-3.937],[1416.37]
[-3.937],[1433.01]
[-3.937],[1435.25]
[-3.937],[1422.27]
[-3.937],[1411.8]
[-3.941],[1405.82]
[-3.935],[1416.22]
[-3.937],[1433.74]
[-3.922],[1435.61]
[-3.905],[1420.39]
[-3.875],[1409.72]
[-3.846],[1408.72]
[-3.808],[1411.59]
[-3.774],[1420.89]
[-3.732],[1421.91]
[-3.695],[1409.99]
[-3.66],[1394.54]
[-3.627],[1378.3]
[-3.584],[1375.77]
[-3.535],[1383.77]
[-3.491],[1384.03]
[-3.435],[1367.17]
[-3.372],[1349.59]
[-3.307],[1339.06]
[-3.247],[1328.4]
[-3.174],[1321.86]
[-3.106],[1317.96]
[-3.029],[1308.1]
[-2.948],[1288.82]
[-2.871],[1265.83]
[-2.788],[1243.27]
[-2.704],[1231.38]
[-2.618],[1228.2]
[-2.541],[1210.5]
[-2.463],[1183.04]
[-2.387],[1155.62]
[-2.304],[1133.76]
[-2.223],[1112.72]
[-2.14],[1098.01]
[-2.06],[1084.34]
[-1.976],[1059.24]
[-1.887],[1029.23]
[-1.808],[993.61]
[-1.728],[971.57]
[-1.64],[955.]
[-1.564],[940.23]
[-1.476],[907.21]
[-1.39],[873.68]
[-1.313],[842.57]
[-1.224],[817.18]
[-1.136],[794.12]
[-1.054],[763.7]
[-0.968],[739.91]
[-0.88],[706.59]
[-0.798],[673.3]
[-0.715],[633.69]
[-0.632],[601.76]
[-0.547],[574.76]
[-0.474],[544.35]
[-0.398],[516.95]
[-0.317],[477.75]
[-0.237],[434.84]
[-0.152],[393.78]
[-0.072],[368.41]
[0.004],[336.65]
[0.091],[299.22]
[0.164],[255.05]
[0.247],[211.64]
[0.32],[175.73]
[0.392],[138.26]
[0.477],[105.9]
[0.561],[61.49]
[0.642],[16.45]
[0.728],[-19.29]
[0.801],[-59.32]
[0.892],[-103.03]
[0.96],[-146.66]
[1.042],[-185.62]
[1.129],[-219.63]
[1.205],[-257.41]
[1.283],[-295.95]
[1.371],[-340.7]
[1.45],[-383.16]
[1.535],[-414.35]
[1.615],[-443.33]
[1.704],[-475.58]
[1.779],[-514.01]
[1.855],[-551.98]
[1.94],[-583.42]
[2.01],[-609.09]
[2.098],[-639.2]
[2.178],[-659.33]
[2.261],[-688.2]
[2.343],[-720.29]
[2.428],[-753.38]
[2.507],[-785.78]
[2.59],[-807.09]
[2.662],[-827.23]
[2.745],[-839.11]
[2.827],[-871.61]
[2.906],[-906.11]
[2.998],[-934.95]
[3.074],[-951.12]
[3.155],[-954.05]
[3.244],[-964.78]
[3.321],[-992.69]
[3.396],[-1039.02]
[3.484],[-1060.29]
[3.562],[-1066.27]
[3.65],[-1059.72]
[3.731],[-1067.59]
[3.811],[-1100.2]
[3.902],[-1143.62]
[3.986],[-1164.04]
[4.062],[-1154.89]
[4.146],[-1154.8]
[4.222],[-1159.53]
[4.302],[-1194.72]
[4.383],[-1229.09]
[4.461],[-1244.22]
[4.551],[-1243.78]
[4.63],[-1237.16]
[4.725],[-1239.82]
[4.793],[-1260.41]
[4.88],[-1300.47]
[4.954],[-1319.51]
[5.037],[-1320.77]
[5.112],[-1309.47]
[5.2],[-1303.3]
[5.282],[-1326.35]
[5.359],[-1361.69]
[5.444],[-1388.88]
[5.532],[-1383.42]
[5.603],[-1372.42]
[5.688],[-1353.76]
[5.773],[-1372.9]
[5.849],[-1421.3]
[5.932],[-1450.34]
[6.01],[-1438.01]
[6.1],[-1415.29]
[6.175],[-1400.28]
[6.268],[-1413.49]
[6.349],[-1464.16]
[6.435],[-1490.21]
[6.514],[-1478.15]
[6.596],[-1451.68]
[6.667],[-1439.15]
[6.754],[-1452.28]
[6.833],[-1488.65]
[6.911],[-1519.03]
[6.995],[-1509.78]
[7.08],[-1491.21]
[7.166],[-1473.29]
[7.249],[-1478.15]
[7.332],[-1504.61]
[7.41],[-1539.6]
[7.495],[-1544.96]
[7.566],[-1529.91]
[7.66],[-1501.18]
[7.736],[-1487.44]
[7.827],[-1523.36]
[7.911],[-1565.54]
[7.99],[-1573.89]
[8.072],[-1545.69]
[8.155],[-1514.26]
[8.236],[-1503.55]
[8.321],[-1536.33]
[8.4],[-1584.53]
[8.481],[-1592.55]
[8.563],[-1561.35]
[8.636],[-1535.55]
[8.727],[-1520.62]
[8.8],[-1543.11]
[8.886],[-1587.09]
[8.964],[-1596.43]
[9.035],[-1572.37]
[9.113],[-1551.44]
[9.202],[-1535.14]
[9.29],[-1545.29]
[9.366],[-1574.96]
[9.454],[-1593.97]
[9.54],[-1583.93]
[9.629],[-1562.45]
[9.714],[-1538.71]
[9.797],[-1534.31]
[9.883],[-1564.76]
[9.967],[-1597.91]
[10.046],[-1595.32]
[10.135],[-1567.46]
[10.217],[-1533.02]
[10.3],[-1522.95]
[10.377],[-1558.74]
[10.455],[-1596.89]
[10.535],[-1593.21]
[10.616],[-1559.62]
[10.69],[-1531.02]
[10.763],[-1516.59]
[10.838],[-1547.26]
[10.927],[-1586.37]
[11.007],[-1590.9]
[11.094],[-1562.87]
[11.177],[-1540.]
[11.26],[-1525.15]
[11.35],[-1534.6]
[11.43],[-1559.69]
[11.513],[-1570.53]
[11.595],[-1561.4]
[11.673],[-1546.19]
[11.759],[-1525.3]
[11.833],[-1518.74]
[11.923],[-1542.56]
[12.001],[-1569.]
[12.082],[-1569.42]
[12.164],[-1543.89]
[12.241],[-1513.5]
[12.319],[-1501.41]
[12.402],[-1528.15]
[12.474],[-1566.59]
[12.561],[-1571.85]
[12.629],[-1540.41]
[12.681],[-1504.51]
[12.71],[-1476.56]
[12.718],[-1504.55]
[12.703],[-1569.54]
[12.677],[-1596.04]
[12.636],[-1550.24]
[12.583],[-1491.8]
[12.506],[-1475.45]
[12.439],[-1509.32]
[12.374],[-1557.01]
[12.298],[-1565.63]
[12.228],[-1531.4]
[12.143],[-1512.22]
[12.069],[-1508.52]
[11.984],[-1508.35]
[11.893],[-1526.57]
[11.81],[-1552.26]
[11.719],[-1551.88]
[11.635],[-1529.66]
[11.541],[-1515.87]
[11.449],[-1512.05]
[11.354],[-1528.22]
[11.256],[-1552.26]
[11.165],[-1565.39]
[11.07],[-1560.25]
[10.984],[-1537.98]
[10.905],[-1506.49]
[10.819],[-1501.38]
[10.743],[-1539.23]
[10.664],[-1580.31]
[10.586],[-1573.29]
[10.515],[-1534.18]
[10.437],[-1504.17]
[10.351],[-1509.89]
[10.269],[-1550.94]
[10.195],[-1574.63]
[10.107],[-1562.14]
[10.035],[-1541.8]
[9.955],[-1530.46]
[9.873],[-1525.85]
[9.791],[-1537.88]
[9.708],[-1558.02]
[9.62],[-1566.15]
[9.528],[-1556.85]
[9.442],[-1538.83]
[9.363],[-1518.27]
[9.277],[-1522.68]
[9.202],[-1554.36]
[9.133],[-1573.46]
[9.053],[-1568.57]
[8.989],[-1547.99]
[8.914],[-1519.83]
[8.841],[-1513.74]
[8.764],[-1545.95]
[8.685],[-1577.45]
[8.614],[-1573.93]
[8.538],[-1544.29]
[8.458],[-1511.45]
[8.381],[-1507.31]
[8.299],[-1542.36]
[8.22],[-1571.56]
[8.132],[-1566.22]
[8.044],[-1542.35]
[7.961],[-1526.81]
[7.891],[-1520.63]
[7.799],[-1537.46]
[7.715],[-1556.46]
[7.632],[-1557.62]
[7.553],[-1541.37]
[7.464],[-1525.28]
[7.388],[-1504.81]
[7.296],[-1507.76]
[7.217],[-1534.74]
[7.112],[-1551.07]
[7.049],[-1539.93]
[6.961],[-1517.76]
[6.892],[-1488.19]
[6.805],[-1484.35]
[6.729],[-1510.39]
[6.65],[-1532.09]
[6.568],[-1523.84]
[6.483],[-1495.99]
[6.407],[-1465.87]
[6.324],[-1459.77]
[6.243],[-1484.56]
[6.16],[-1506.26]
[6.088],[-1495.05]
[6.007],[-1468.79]
[5.932],[-1443.7]
[5.847],[-1437.37]
[5.76],[-1446.87]
[5.676],[-1462.98]
[5.599],[-1457.55]
[5.508],[-1436.21]
[5.426],[-1415.15]
[5.344],[-1395.06]
[5.273],[-1392.79]
[5.189],[-1403.64]
[5.111],[-1409.68]
[5.029],[-1394.17]
[4.947],[-1369.18]
[4.865],[-1338.89]
[4.789],[-1330.08]
[4.704],[-1345.19]
[4.622],[-1356.04]
[4.533],[-1339.98]
[4.463],[-1308.37]
[4.388],[-1280.36]
[4.312],[-1267.51]
[4.226],[-1281.21]
[4.141],[-1283.52]
[4.057],[-1269.97]
[3.982],[-1238.13]
[3.894],[-1211.42]
[3.812],[-1198.86]
[3.729],[-1200.62]
[3.659],[-1199.72]
[3.577],[-1183.53]
[3.5],[-1164.64]
[3.424],[-1138.59]
[3.34],[-1115.25]
[3.258],[-1099.35]
[3.177],[-1098.09]
[3.099],[-1087.69]
[3.014],[-1072.07]
[2.937],[-1041.29]
[2.858],[-1011.9]
[2.785],[-990.53]
[2.704],[-982.94]
[2.62],[-975.91]
[2.548],[-950.32]
[2.463],[-925.2]
[2.381],[-887.72]
[2.295],[-864.28]
[2.215],[-848.15]
[2.142],[-835.46]
[2.055],[-806.82]
[1.971],[-770.04]
[1.903],[-743.33]
[1.826],[-717.01]
[1.741],[-695.37]
[1.668],[-665.16]
[1.579],[-643.02]
[1.501],[-610.91]
[1.421],[-584.49]
[1.336],[-547.03]
[1.257],[-513.03]
[1.178],[-482.65]
[1.093],[-456.76]
[1.019],[-430.68]
[0.928],[-391.67]
[0.849],[-354.43]
[0.769],[-315.83]
[0.674],[-290.52]
[0.596],[-257.14]
[0.515],[-219.83]
[0.434],[-177.42]
[0.358],[-136.8]
[0.288],[-103.97]
[0.2],[-69.17]
[0.121],[-34.68]
[0.045],[13.72]
[-0.039],[52.01]
[-0.121],[89.85]
[-0.206],[124.14]
[-0.284],[164.16]
[-0.358],[210.76]
[-0.439],[252.58]
[-0.526],[294.68]
[-0.604],[329.79]
[-0.697],[363.27]
[-0.778],[403.23]
[-0.862],[452.73]
[-0.943],[495.51]
[-1.026],[527.38]
[-1.107],[564.65]
[-1.194],[601.71]
[-1.263],[635.78]
[-1.343],[669.42]
[-1.427],[702.73]
[-1.509],[738.04]
[-1.595],[768.95]
[-1.671],[791.6]
[-1.753],[813.25]
[-1.83],[846.76]
[-1.915],[881.64]
[-1.988],[911.27]
[-2.061],[931.79]
[-2.14],[945.37]
[-2.22],[960.96]
[-2.31],[992.85]
[-2.394],[1029.81]
[-2.476],[1054.14]
[-2.56],[1062.67]
[-2.641],[1076.99]
[-2.722],[1098.6]
[-2.804],[1134.67]
[-2.89],[1164.52]
[-2.97],[1178.31]
[-3.058],[1188.32]
[-3.147],[1199.57]
[-3.236],[1226.4]
[-3.315],[1253.38]
[-3.397],[1276.42]
[-3.473],[1287.02]
[-3.542],[1298.52]
[-3.615],[1312.19]
[-3.69],[1327.09]
[-3.766],[1349.88]
[-3.845],[1368.9]
[-3.937],[1383.66]
[-4.017],[1392.79]
[-4.103],[1401.78]
[-4.191],[1406.03]
[-4.274],[1427.54]
[-4.353],[1453.58]
[-4.422],[1467.02]
[-4.499],[1466.59]
[-4.574],[1463.9]
[-4.646],[1476.53]
[-4.726],[1493.66]
[-4.809],[1522.99]
[-4.887],[1535.14]
[-4.964],[1526.25]
[-5.051],[1521.9]
[-5.13],[1526.12]
[-5.211],[1554.89]
[-5.287],[1577.86]
[-5.369],[1584.59]
[-5.45],[1568.46]
[-5.54],[1564.13]
[-5.625],[1576.34]
[-5.7],[1592.8]
[-5.787],[1616.42]
[-5.857],[1619.31]
[-5.934],[1610.97]
[-6.02],[1606.33]
[-6.102],[1613.03]
[-6.172],[1628.52]
[-6.249],[1643.44]
[-6.327],[1652.68]
[-6.416],[1644.75]
[-6.498],[1643.22]
[-6.58],[1639.43]
[-6.664],[1645.98]
[-6.752],[1665.86]
[-6.837],[1678.62]
[-6.919],[1673.52]
[-6.999],[1661.11]
[-7.085],[1658.97]
[-7.163],[1661.2]
[-7.245],[1680.52]
[-7.319],[1698.23]
[-7.398],[1687.45]
[-7.476],[1669.59]
