slip,lateral_force
[0.069],[172.57]
[0.067],[175.53]
[0.06],[175.83]
[0.057],[176.25]
[0.069],[172.22]
[0.058],[168.33]
[0.06],[172.11]
[0.064],[176.44]
[0.067],[179.82]
[0.061],[174.78]
[0.067],[170.76]
[0.06],[169.77]
[0.063],[173.78]
[0.061],[178.04]
[0.067],[177.39]
[0.066],[174.66]
[0.061],[172.73]
[0.069],[169.08]
[0.063],[169.05]
[0.063],[173.55]
[0.06],[177.29]
[0.061],[175.79]
[0.067],[172.39]
[0.067],[166.63]
[0.067],[169.53]
[0.07],[174.86]
[0.069],[176.76]
[0.058],[175.88]
[0.069],[173.71]
[0.057],[169.94]
[0.061],[169.64]
[0.058],[172.43]
[0.066],[176.58]
[0.064],[179.12]
[0.067],[174.2]
[0.06],[169.18]
[0.063],[170.3]
[0.064],[174.66]
[0.058],[177.15]
[0.067],[175.03]
[0.063],[173.38]
[0.061],[171.31]
[0.064],[168.83]
[0.063],[170.76]
[0.064],[174.49]
[-3.938],[1394.34]
[-3.937],[1388.63]
[-3.938],[1390.43]
[-3.94],[1403.64]
[-3.941],[1417.49]
[-3.935],[1413.48]
[-3.935],[1397.04]
[-3.938],[1385.84]
[-3.943],[1386.2]
[-3.938],[1399.47]
[-3.934],[1413.61]
[-3.934],[1411.5]
[-3.931],[1398.27]
[-3.935],[1387.75]
[-3.938],[1386.21]
[-3.938],[1394.53]
[-3.962],[1411.51]
[-3.94],[1417.13]
[-3.935],[1404.35]
[-3.94],[1390.03]
[-3.941],[1386.04]
[-3.941],[1395.16]
[-3.943],[1413.64]
[-3.941],[1418.63]
[-3.94],[1405.24]
[-3.938],[1391.81]
[-3.94],[1387.62]
[-3.94],[1394.66]
[-3.922],[1413.2]
[-3.935],[1420.87]
[-3.938],[1410.1]
[-3.935],[1393.89]
[-3.935],[1389.54]
[-3.943],[1394.07]
[-3.937],[1407.78]
[-3.934],[1416.45]
[-3.94],[1410.89]
[-3.943],[1397.11]
[-3.934],[1389.45]
[-3.929],[1390.63]
[-3.941],[1404.31]
[-3.941],[1420.42]
[-3.934],[1416.34]
[-3.937],[1401.25]
[-3.943],[1391.46]
[-3.938],[1390.28]
[-3.941],[1401.6]
[-3.932],[1417.7]
[-3.937],[1418.56]
[-3.932],[1401.86]
[-3.941],[1388.45]
[-3.938],[1387.09]
[-3.94],[1399.64]
[-3.941],[1415.79]
[-3.931],[1418.05]
[-3.941],[1403.82]
[-3.935],[1391.32]
[-3.929],[1390.33]
[-3.921],[1396.28]
[-3.9],[1413.03]
[-3.875],[1419.52]
[-3.845],[1407.57]
[-3.809],[1389.29]
[-3.763],[1379.25]
[-3.729],[1380.43]
[-3.684],[1390.65]
[-3.653],[1393.76]
[-3.612],[1379.9]
[-3.567],[1360.74]
[-3.523],[1347.73]
[-3.469],[1340.41]
[-3.413],[1341.18]
[-3.346],[1348.29]
[-3.28],[1336.62]
[-3.212],[1313.15]
[-3.141],[1289.57]
[-3.071],[1274.86]
[-2.994],[1270.01]
[-2.913],[1273.07]
[-2.836],[1261.69]
[-2.757],[1229.59]
[-2.675],[1203.09]
[-2.59],[1184.74]
[-2.519],[1173.35]
[-2.434],[1165.21]
[-2.356],[1150.7]
[-2.279],[1123.29]
[-2.191],[1090.22]
[-2.112],[1063.78]
[-2.033],[1048.86]
[-1.946],[1039.59]
