slip,lateral_force
[0.058],[4.31]
[0.064],[2.96]
[0.063],[2.93]
[0.066],[2.38]
[0.066],[2.94]
[0.066],[4.98]
[0.064],[4.35]
[0.069],[2.26]
[0.066],[0.96]
[0.069],[0.94]
[0.064],[3.7]
[0.064],[4.32]
[0.067],[2.93]
[0.066],[1.54]
[0.067],[2.37]
[0.066],[0.94]
[0.063],[0.89]
[0.066],[3.58]
[0.066],[4.29]
[0.063],[3.68]
[0.066],[0.22]
[0.066],[0.24]
[0.069],[1.59]
[0.07],[5.75]
[0.063],[4.34]
[0.069],[2.22]
[0.069],[3.04]
[0.064],[4.48]
[0.066],[2.32]
[0.061],[2.31]
[0.067],[3.64]
[0.064],[4.34]
[0.066],[2.26]
[0.069],[1.65]
[0.063],[1.67]
[0.066],[4.32]
[0.067],[4.26]
[0.064],[2.99]
[0.067],[1.64]
[0.067],[3.08]
[0.063],[2.33]
[0.067],[4.42]
[0.067],[5.01]
[0.064],[4.28]
[0.067],[2.98]
[-3.934],[1228.05]
[-3.937],[1210.67]
[-3.94],[1200.92]
[-3.935],[1205.78]
[-3.937],[1226.75]
[-3.94],[1237.14]
[-3.937],[1228.01]
[-3.94],[1211.31]
[-3.934],[1206.45]
[-3.935],[1207.88]
[-3.94],[1220.48]
[-3.934],[1236.53]
[-3.934],[1232.23]
[-3.922],[1216.18]
[-3.934],[1205.73]
[-3.932],[1205.02]
[-3.937],[1222.6]
[-3.935],[1243.44]
[-3.94],[1235.05]
[-3.934],[1216.89]
[-3.932],[1207.78]
[-3.934],[1207.14]
[-3.934],[1218.35]
[-3.935],[1234.36]
[-3.938],[1233.65]
[-3.932],[1218.29]
[-3.935],[1208.48]
[-3.934],[1202.99]
[-3.932],[1214.92]
[-3.938],[1233.75]
[-3.94],[1235.83]
[-3.941],[1215.51]
[-3.934],[1207.06]
[-3.938],[1205.8]
[-3.932],[1211.32]
[-3.932],[1226.77]
[-3.932],[1232.31]
[-3.938],[1221.13]
[-3.934],[1209.28]
[-3.938],[1201.6]
[-3.938],[1205.09]
[-3.947],[1226.06]
[-3.935],[1235.81]
[-3.932],[1221.09]
[-3.94],[1205.74]
[-3.94],[1200.22]
[-3.938],[1205.84]
[-3.938],[1226.04]
[-3.94],[1235.8]
[-3.938],[1223.19]
[-3.931],[1210.64]
[-3.935],[1203.68]
[-3.937],[1206.41]
[-3.937],[1225.37]
[-3.934],[1240.03]
[-3.932],[1227.35]
[-3.937],[1212.07]
[-3.928],[1205.77]
[-3.921],[1209.94]
[-3.903],[1224.66]
[-3.875],[1237.22]
[-3.845],[1228.21]
[-3.811],[1208.55]
[-3.774],[1200.25]
[-3.735],[1199.57]
[-3.706],[1205.9]
[-3.666],[1214.24]
[-3.625],[1206.62]
[-3.59],[1191.32]
[-3.541],[1182.25]
[-3.491],[1171.77]
[-3.438],[1167.1]
[-3.377],[1175.47]
[-3.315],[1180.21]
[-3.257],[1162.82]
[-3.187],[1141.2]
[-3.111],[1123.24]
[-3.041],[1117.02]
[-2.957],[1120.65]
[-2.887],[1118.55]
[-2.801],[1097.69]
[-2.718],[1075.28]
[-2.63],[1053.06]
[-2.557],[1036.59]
[-2.475],[1027.02]
[-2.393],[1021.41]
[-2.311],[999.9]
[-2.234],[967.9]
[-2.147],[941.46]
[-2.067],[929.86]
[-1.987],[913.24]
[-1.9],[891.15]
[-1.813],[859.83]
[-1.735],[837.51]
[-1.649],[815.23]
[-1.57],[790.43]
[-1.482],[757.23]
[-1.402],[730.94]
[-1.32],[707.24]
[-1.238],[687.84]
[-1.164],[655.84]
[-1.06],[620.6]
[-0.974],[583.86]
[-0.892],[558.98]
[-0.807],[532.6]
[-0.724],[503.43]
[-0.64],[463.06]
[-0.563],[427.78]
[-0.484],[390.5]
[-0.403],[366.29]
[-0.323],[336.38]
[-0.24],[299.59]
[-0.161],[258.62]
[-0.083],[227.51]
[-0.009],[192.2]
[0.072],[160.42]
[0.151],[120.11]
[0.227],[83.29]
[0.304],[46.47]
[0.382],[12.58]
[0.458],[-21.89]
[0.547],[-64.93]
[0.627],[-103.05]
[0.709],[-141.21]
[0.794],[-172.45]
[0.87],[-212.65]
[0.947],[-257.04]
[1.031],[-301.32]
[1.11],[-339.29]
[1.188],[-367.87]
[1.27],[-399.74]
[1.354],[-440.]
[1.437],[-480.83]
[1.523],[-516.86]
[1.601],[-545.15]
[1.678],[-575.]
[1.759],[-610.47]
[1.839],[-643.03]
[1.914],[-669.93]
[1.992],[-698.34]
[2.076],[-729.47]
[2.163],[-757.9]
[2.242],[-780.88]
[2.326],[-805.14]
[2.411],[-827.23]
[2.488],[-852.85]
[2.57],[-885.37]
[2.653],[-910.35]
[2.731],[-927.11]
[2.817],[-938.18]
[2.899],[-954.1]
[2.981],[-980.45]
[3.063],[-1017.09]
[3.146],[-1033.7]
[3.225],[-1040.02]
[3.308],[-1039.99]
[3.387],[-1059.5]
[3.475],[-1092.67]
[3.551],[-1126.57]
[3.634],[-1133.38]
[3.719],[-1128.06]
[3.809],[-1132.23]
[3.893],[-1148.79]
[3.969],[-1184.84]
[4.054],[-1209.76]
[4.134],[-1214.52]
[4.213],[-1202.8]
[4.292],[-1205.75]
[4.378],[-1210.55]
[4.459],[-1243.78]
[4.536],[-1272.79]
[4.619],[-1275.54]
[4.706],[-1256.87]
[4.785],[-1245.9]
[4.868],[-1247.23]
[4.945],[-1278.37]
[5.026],[-1322.09]
[5.108],[-1317.12]
[5.187],[-1287.33]
[5.27],[-1269.41]
[5.355],[-1269.44]
[5.438],[-1304.74]
[5.518],[-1353.25]
[5.599],[-1346.2]
[5.685],[-1308.81]
[5.764],[-1279.08]
[5.846],[-1282.67]
[5.928],[-1326.9]
[6.005],[-1367.04]
[6.088],[-1353.86]
[6.175],[-1310.92]
[6.259],[-1295.01]
[6.341],[-1295.76]
[6.423],[-1331.12]
[6.507],[-1360.1]
[6.583],[-1352.35]
[6.667],[-1324.81]
[6.749],[-1313.08]
[6.83],[-1302.07]
[6.904],[-1322.05]
[6.989],[-1360.08]
[7.08],[-1372.44]
[7.164],[-1349.64]
[7.249],[-1324.91]
[7.33],[-1301.28]
[7.404],[-1318.62]
[7.489],[-1365.02]
[7.571],[-1387.11]
[7.653],[-1358.68]
[7.734],[-1321.96]
[7.819],[-1301.28]
[7.908],[-1320.7]
[7.99],[-1368.46]
[8.069],[-1391.29]
[8.151],[-1362.76]
[8.231],[-1328.17]
[8.313],[-1312.34]
[8.394],[-1330.61]
[8.477],[-1367.8]
[8.553],[-1382.89]
[8.639],[-1355.83]
[8.718],[-1329.53]
[8.806],[-1325.58]
[8.882],[-1335.34]
[8.957],[-1355.95]
[9.034],[-1371.14]
[9.113],[-1363.44]
[9.193],[-1342.03]
[9.28],[-1322.8]
[9.36],[-1315.2]
[9.452],[-1338.66]
[9.535],[-1371.78]
[9.626],[-1371.86]
[9.717],[-1337.3]
[9.8],[-1306.83]
[9.885],[-1298.55]
[9.964],[-1326.17]
[10.053],[-1362.22]
[10.127],[-1366.23]
[10.212],[-1330.28]
[10.293],[-1297.]
[10.372],[-1291.5]
[10.452],[-1323.42]
[10.535],[-1355.95]
[10.614],[-1360.08]
[10.689],[-1326.89]
[10.762],[-1299.8]
[10.839],[-1297.77]
[10.924],[-1315.8]
[11.003],[-1337.21]
[11.091],[-1344.73]
[11.174],[-1328.78]
[11.26],[-1310.9]
[11.35],[-1301.29]
[11.433],[-1299.88]
[11.512],[-1319.92]
[11.588],[-1344.83]
[11.674],[-1342.]
[11.753],[-1319.13]
[11.833],[-1291.51]
[11.917],[-1276.25]
[11.997],[-1301.21]
[12.08],[-1335.79]
[12.17],[-1340.]
[12.241],[-1308.1]
[12.322],[-1279.04]
[12.396],[-1268.7]
[12.474],[-1294.98]
[12.554],[-1326.12]
[12.627],[-1327.46]
[12.68],[-1285.39]
[12.706],[-1245.75]
[12.715],[-1252.26]
[12.712],[-1289.06]
[12.683],[-1327.16]
[12.639],[-1315.86]
[12.579],[-1265.1]
[12.516],[-1238.77]
[12.444],[-1259.13]
[12.37],[-1279.23]
[12.298],[-1289.54]
[12.227],[-1286.01]
[12.146],[-1283.1]
[12.064],[-1286.03]
[11.98],[-1281.28]
[11.895],[-1264.68]
[11.804],[-1272.75]
[11.716],[-1297.71]
[11.624],[-1308.77]
[11.535],[-1298.42]
[11.439],[-1276.34]
[11.35],[-1261.15]
[11.253],[-1272.86]
[11.165],[-1303.45]
[11.069],[-1330.35]
[10.986],[-1320.54]
[10.902],[-1291.4]
[10.817],[-1270.04]
[10.74],[-1279.76]
[10.667],[-1319.34]
[10.585],[-1337.94]
[10.508],[-1310.22]
[10.427],[-1273.45]
[10.351],[-1267.33]
[10.272],[-1293.05]
[10.189],[-1319.32]
[10.111],[-1320.54]
[10.031],[-1306.61]
[9.956],[-1297.07]
[9.869],[-1295.12]
[9.787],[-1288.9]
[9.699],[-1292.33]
[9.616],[-1314.36]
[9.527],[-1329.64]
[9.445],[-1319.35]
[9.36],[-1293.]
[9.281],[-1270.81]
[9.198],[-1284.63]
[9.13],[-1320.01]
[9.054],[-1333.8]
[8.983],[-1312.34]
[8.907],[-1283.28]
[8.832],[-1268.09]
[8.764],[-1284.02]
[8.69],[-1321.46]
[8.613],[-1342.79]
[8.537],[-1319.88]
[8.461],[-1286.6]
[8.385],[-1270.91]
[8.303],[-1290.99]
[8.22],[-1326.21]
[8.141],[-1337.97]
[8.058],[-1312.25]
[7.97],[-1290.16]
[7.882],[-1288.21]
[7.805],[-1296.56]
[7.723],[-1314.48]
[7.641],[-1328.92]
[7.558],[-1329.59]
[7.477],[-1321.37]
[7.395],[-1304.16]
[7.302],[-1284.77]
[7.217],[-1301.33]
[7.132],[-1329.69]
[7.049],[-1338.79]
[6.967],[-1315.82]
[6.892],[-1292.34]
[6.812],[-1279.89]
[6.733],[-1302.13]
[6.657],[-1332.49]
[6.581],[-1336.6]
[6.493],[-1310.28]
[6.41],[-1284.77]
[6.328],[-1277.2]
[6.249],[-1297.99]
[6.17],[-1329.1]
[6.09],[-1330.35]
[6.011],[-1301.26]
[5.935],[-1279.89]
[5.853],[-1278.64]
[5.774],[-1289.71]
[5.688],[-1303.44]
[5.608],[-1308.3]
[5.521],[-1294.38]
[5.442],[-1283.47]
[5.36],[-1274.54]
[5.273],[-1265.38]
[5.195],[-1275.77]
[5.119],[-1293.79]
[5.042],[-1295.12]
[4.963],[-1272.35]
[4.881],[-1241.93]
[4.796],[-1232.26]
[4.714],[-1250.2]
[4.643],[-1275.16]
[4.558],[-1269.44]
[4.482],[-1234.88]
[4.407],[-1211.4]
[4.324],[-1206.71]
[4.247],[-1222.53]
[4.162],[-1241.21]
[4.083],[-1232.86]
[4.002],[-1202.37]
[3.91],[-1178.95]
[3.831],[-1173.12]
[3.75],[-1177.59]
[3.674],[-1185.15]
[3.593],[-1175.91]
[3.517],[-1158.78]
[3.434],[-1144.33]
[3.35],[-1128.49]
[3.264],[-1115.89]
[3.19],[-1113.12]
[3.105],[-1110.9]
[3.023],[-1102.01]
[2.943],[-1077.71]
[2.865],[-1048.72]
[2.788],[-1029.25]
[2.709],[-1027.16]
[2.631],[-1024.36]
[2.546],[-1004.79]
[2.462],[-973.18]
[2.38],[-947.61]
[2.301],[-929.53]
[2.22],[-919.15]
[2.142],[-903.82]
[2.063],[-878.18]
[1.985],[-848.54]
[1.912],[-827.07]
[1.827],[-806.22]
[1.75],[-782.54]
[1.669],[-758.31]
[1.588],[-736.07]
[1.504],[-709.09]
[1.419],[-687.]
[1.343],[-655.75]
[1.257],[-623.8]
[1.183],[-591.23]
[1.101],[-571.83]
[1.022],[-545.47]
[0.936],[-517.84]
[0.849],[-476.88]
[0.77],[-442.23]
[0.69],[-414.38]
[0.611],[-392.96]
[0.531],[-356.16]
[0.446],[-316.67]
[0.367],[-279.17]
[0.288],[-248.68]
[0.212],[-225.76]
[0.127],[-185.44]
[0.047],[-144.72]
[-0.035],[-104.48]
[-0.118],[-74.77]
[-0.193],[-39.96]
[-0.27],[-5.94]
[-0.354],[37.74]
[-0.437],[81.43]
[-0.519],[115.29]
[-0.602],[147.87]
[-0.686],[185.45]
[-0.772],[226.31]
[-0.857],[266.48]
[-0.938],[307.53]
[-1.02],[343.4]
[-1.105],[376.75]
[-1.184],[415.67]
[-1.259],[455.28]
[-1.338],[487.87]
[-1.421],[516.95]
[-1.497],[547.4]
[-1.585],[584.03]
[-1.669],[612.6]
[-1.748],[634.13]
[-1.827],[664.73]
[-1.903],[695.87]
[-1.985],[727.79]
[-2.06],[748.45]
[-2.142],[769.31]
[-2.216],[792.3]
[-2.298],[818.62]
[-2.386],[849.17]
[-2.47],[871.26]
[-2.557],[889.79]
[-2.637],[903.81]
[-2.715],[922.62]
[-2.796],[951.85]
[-2.88],[983.73]
[-2.972],[994.71]
[-3.054],[1003.35]
[-3.143],[1009.07]
[-3.228],[1036.91]
[-3.307],[1066.83]
[-3.388],[1086.99]
[-3.463],[1088.97]
[-3.539],[1093.02]
[-3.603],[1104.81]
[-3.676],[1122.93]
[-3.747],[1145.19]
[-3.833],[1155.6]
[-3.919],[1160.36]
[-4.011],[1158.07]
[-4.096],[1167.12]
[-4.178],[1172.59]
[-4.261],[1197.8]
[-4.337],[1206.76]
[-4.418],[1201.92]
[-4.494],[1196.33]
[-4.568],[1198.23]
[-4.638],[1209.42]
[-4.719],[1224.05]
[-4.795],[1241.45]
[-4.882],[1230.95]
[-4.963],[1224.65]
[-5.039],[1217.59]
[-5.121],[1223.16]
[-5.201],[1247.67]
[-5.28],[1267.08]
[-5.363],[1253.84]
[-5.447],[1235.59]
[-5.534],[1229.98]
[-5.616],[1244.58]
[-5.7],[1272.53]
[-5.78],[1282.33]
[-5.86],[1266.3]
[-5.934],[1252.99]
[-6.014],[1257.85]
[-6.094],[1262.61]
[-6.17],[1278.58]
[-6.251],[1290.54]
[-6.333],[1280.79]
[-6.416],[1271.68]
[-6.496],[1272.97]
[-6.581],[1277.78]
[-6.663],[1288.94]
[-6.748],[1300.35]
[-6.835],[1297.45]
[-6.916],[1289.81]
[-6.995],[1288.91]
[-7.077],[1283.1]
[-7.161],[1290.19]
[-7.24],[1312.53]
[-7.319],[1317.57]
[-7.398],[1302.81]
[-7.471],[1290.91]
[-7.556],[1287.47]
[-7.632],[1299.32]
[-7.711],[1320.3]
[-7.796],[1321.67]
[-7.881],[1304.22]
[-7.967],[1293.63]
[-8.055],[1294.94]
[-8.139],[1308.26]
[-8.223],[1321.65]
[-8.3],[1320.96]
[-8.382],[1301.6]
[-8.46],[1293.77]
[-8.527],[1296.44]
[-8.617],[1306.86]
[-8.698],[1313.99]
[-8.777],[1314.12]
[-8.862],[1301.5]
[-8.946],[1295.83]
[-9.028],[1298.53]
[-9.109],[1299.84]
[-9.188],[1307.65]
[-9.271],[1317.53]
[-9.351],[1312.63]
[-9.43],[1297.19]
[-9.512],[1289.44]
[-9.597],[1286.73]
[-9.68],[1294.44]
[-9.763],[1311.22]
[-9.848],[1307.78]
[-9.927],[1291.66]
[-10.011],[1281.89]
[-10.084],[1281.92]
