slip,lateral_force
[0.066],[6.56]
[0.07],[4.49]
[0.069],[1.85]
[0.069],[3.4]
[0.063],[4.92]
[0.069],[5.31]
[0.067],[3.08]
[0.069],[2.43]
[0.066],[3.75]
[0.069],[3.98]
[0.069],[4.28]
[0.07],[3.99]
[0.067],[5.3]
[0.066],[5.83]
[0.066],[4.56]
[0.067],[3.4]
[0.066],[4.3]
[0.069],[6.2]
[0.067],[5.94]
[0.069],[4.48]
[0.069],[3.84]
[0.066],[6.1]
[0.067],[4.17]
[0.07],[4.88]
[0.067],[5.35]
[0.072],[5.08]
[0.069],[4.43]
[0.067],[3.27]
[0.077],[2.02]
[0.064],[4.3]
[0.066],[5.34]
[0.063],[3.79]
[0.063],[3.76]
[0.066],[2.42]
[0.066],[2.76]
[0.067],[5.]
[0.061],[4.77]
[0.069],[7.32]
[0.069],[4.43]
[0.064],[3.78]
[0.067],[3.41]
[0.067],[5.7]
[0.069],[6.85]
[0.066],[5.25]
[0.067],[4.35]
[-3.944],[538.49]
[-3.941],[527.28]
[-3.94],[533.57]
[-3.941],[563.64]
[-3.947],[584.5]
[-3.945],[568.98]
[-3.941],[541.8]
[-3.941],[528.69]
[-3.945],[529.43]
[-3.943],[553.98]
[-3.945],[578.91]
[-3.94],[575.36]
[-3.944],[547.25]
[-3.945],[529.36]
[-3.945],[523.89]
[-3.941],[544.09]
[-3.947],[576.24]
[-3.944],[580.85]
[-3.941],[555.13]
[-3.947],[534.94]
[-3.94],[527.31]
[-3.941],[540.]
[-3.944],[571.29]
[-3.943],[581.69]
[-3.943],[561.36]
[-3.941],[537.05]
[-3.943],[525.88]
[-3.943],[532.28]
[-3.94],[563.57]
[-3.943],[586.64]
[-3.944],[569.1]
[-3.94],[540.38]
[-3.943],[527.13]
[-3.937],[528.]
[-3.941],[553.1]
[-3.937],[578.95]
[-3.94],[573.94]
[-3.941],[545.33]
[-3.941],[529.94]
[-3.943],[525.89]
[-3.943],[544.78]
[-3.94],[576.89]
[-3.947],[580.94]
[-3.94],[555.]
[-3.941],[533.55]
[-3.943],[523.74]
[-3.945],[535.76]
[-3.943],[567.81]
[-3.944],[581.6]
[-3.94],[561.98]
[-3.938],[536.28]
[-3.943],[521.71]
[-3.943],[527.32]
[-3.943],[560.06]
[-3.944],[582.38]
[-3.943],[566.97]
[-3.943],[537.67]
[-3.937],[525.17]
[-3.929],[525.23]
[-3.907],[551.2]
[-3.881],[578.34]
[-3.849],[573.95]
[-3.818],[545.39]
[-3.776],[528.66]
[-3.738],[522.52]
[-3.7],[537.22]
[-3.669],[563.68]
[-3.624],[566.46]
[-3.589],[545.42]
[-3.545],[523.83]
[-3.489],[507.88]
[-3.431],[509.46]
[-3.374],[538.83]
[-3.308],[556.74]
[-3.244],[538.58]
[-3.175],[505.02]
[-3.102],[485.68]
[-3.023],[481.59]
[-2.946],[502.69]
[-2.861],[522.08]
[-2.782],[513.62]
[-2.701],[483.02]
[-2.62],[458.6]
[-2.538],[447.75]
[-2.459],[462.49]
[-2.377],[483.32]
[-2.297],[474.76]
[-2.215],[442.83]
[-2.133],[420.48]
[-2.051],[412.96]
[-1.968],[415.23]
[-1.884],[420.24]
[-1.798],[415.99]
[-1.716],[397.03]
[-1.628],[380.3]
[-1.55],[362.95]
[-1.471],[349.99]
[-1.387],[350.2]
[-1.313],[350.84]
[-1.222],[340.14]
[-1.14],[320.72]
[-1.053],[299.23]
[-0.96],[278.38]
[-0.876],[269.68]
[-0.791],[270.55]
[-0.71],[261.99]
[-0.626],[241.]
[-0.548],[214.68]
[-0.466],[189.66]
[-0.387],[176.7]
[-0.31],[170.73]
[-0.228],[151.8]
[-0.143],[123.76]
[-0.064],[100.87]
[0.022],[82.18]
[0.102],[60.25]
[0.174],[32.75]
[0.251],[6.98]
[0.326],[-16.21]
[0.402],[-34.21]
[0.482],[-57.84]
[0.564],[-88.78]
[0.651],[-118.4]
[0.734],[-141.39]
[0.814],[-162.43]
[0.896],[-179.1]
[0.975],[-205.45]
[1.057],[-231.65]
[1.137],[-249.99]
[1.216],[-269.7]
[1.297],[-285.73]
[1.386],[-301.78]
[1.469],[-316.54]
[1.55],[-319.14]
[1.63],[-330.03]
[1.716],[-358.32]
[1.798],[-384.16]
[1.874],[-390.66]
[1.944],[-383.74]
[2.028],[-374.58]
[2.111],[-390.91]
[2.197],[-430.36]
[2.282],[-455.57]
[2.367],[-447.51]
[2.451],[-430.19]
[2.529],[-421.2]
[2.614],[-442.49]
[2.693],[-483.85]
[2.77],[-500.48]
[2.846],[-483.4]
[2.922],[-467.01]
[3.008],[-462.06]
[3.096],[-475.08]
[3.182],[-506.79]
[3.263],[-523.33]
[3.348],[-518.05]
[3.429],[-505.05]
[3.504],[-489.84]
[3.581],[-481.41]
[3.665],[-514.45]
[3.75],[-553.13]
[3.828],[-560.12]
[3.915],[-537.57]
[4.004],[-509.25]
[4.089],[-494.59]
[4.166],[-531.88]
[4.245],[-584.43]
[4.321],[-590.69]
[4.4],[-557.53]
[4.48],[-525.02]
[4.564],[-515.35]
[4.647],[-547.78]
[4.729],[-595.4]
[4.809],[-603.8]
[4.888],[-572.07]
[4.973],[-546.53]
[5.052],[-531.38]
[5.132],[-546.34]
[5.208],[-593.36]
[5.292],[-612.12]
[5.374],[-593.46]
[5.457],[-569.28]
[5.548],[-548.65]
[5.628],[-540.64]
[5.711],[-579.52]
[5.792],[-620.37]
[5.871],[-619.06]
[5.95],[-585.25]
[6.034],[-552.81]
