slip,lateral_force
[0.058],[103.45]
[0.06],[103.76]
[0.063],[100.37]
[0.061],[98.58]
[0.06],[102.3]
[0.063],[105.18]
[0.07],[106.21]
[0.066],[104.34]
[0.061],[100.9]
[0.064],[99.35]
[0.063],[101.88]
[0.061],[103.91]
[0.061],[105.55]
[0.061],[103.74]
[0.066],[100.81]
[0.061],[97.43]
[0.069],[100.61]
[0.061],[104.59]
[0.06],[104.94]
[0.063],[104.33]
[0.063],[99.95]
[0.061],[97.95]
[0.064],[99.94]
[0.063],[101.96]
[0.063],[106.24]
[0.063],[104.91]
[0.067],[101.22]
[0.058],[97.17]
[0.064],[101.55]
[0.063],[105.52]
[0.067],[104.82]
[0.057],[102.15]
[0.061],[103.12]
[0.06],[102.3]
[0.064],[101.36]
[0.06],[103.01]
[0.066],[104.92]
[0.067],[106.15]
[0.069],[102.99]
[0.061],[99.63]
[0.061],[98.68]
[0.063],[100.35]
[0.061],[102.3]
[0.064],[103.27]
[0.063],[104.14]
[-3.941],[1425.28]
[-3.94],[1438.39]
[-3.941],[1452.14]
[-3.934],[1449.55]
[-3.935],[1436.36]
[-3.935],[1426.28]
[-3.935],[1421.01]
[-3.935],[1436.45]
[-3.938],[1454.15]
[-3.944],[1453.83]
[-3.941],[1436.33]
[-3.937],[1427.49]
[-3.943],[1425.13]
[-3.94],[1434.34]
[-3.94],[1452.18]
[-3.937],[1458.58]
[-3.935],[1443.83]
[-3.943],[1428.96]
[-3.937],[1420.21]
[-3.94],[1432.23]
[-3.94],[1454.94]
[-3.937],[1459.45]
[-3.94],[1444.6]
[-3.953],[1434.5]
[-3.941],[1431.44]
[-3.935],[1433.68]
[-3.937],[1445.34]
[-3.941],[1458.3]
[-3.945],[1452.96]
[-3.938],[1437.12]
[-3.941],[1427.23]
[-3.941],[1426.67]
[-3.94],[1441.94]
[-3.944],[1460.29]
[-3.945],[1454.54]
[-3.94],[1438.53]
[-3.938],[1429.04]
[-3.94],[1429.47]
[-3.94],[1439.09]
[-3.94],[1455.02]
[-3.938],[1455.82]
[-3.941],[1441.83]
[-3.937],[1428.36]
[-3.938],[1423.92]
[-3.94],[1433.62]
[-3.94],[1454.28]
[-3.935],[1459.34]
[-3.94],[1441.1]
[-3.935],[1428.9]
[-3.943],[1427.87]
[-3.941],[1437.07]
[-3.938],[1452.23]
[-3.938],[1459.54]
[-3.926],[1447.37]
[-3.94],[1435.21]
