slip,lateral_force
[0.06],[10.58]
[0.058],[14.67]
[0.063],[14.41]
[0.067],[11.72]
[0.058],[9.67]
[0.057],[11.67]
[0.061],[15.02]
[0.067],[14.19]
[0.064],[10.93]
[0.063],[10.62]
[0.063],[11.8]
[0.063],[12.34]
[0.067],[11.52]
[0.07],[12.93]
[0.061],[14.]
[0.06],[13.35]
[0.058],[12.24]
[0.069],[9.39]
[0.067],[11.06]
[0.058],[13.15]
[0.066],[12.38]
[0.061],[13.05]
[0.064],[12.64]
[0.06],[11.99]
[0.066],[12.47]
[0.061],[11.93]
[0.066],[14.58]
[0.086],[14.42]
[0.06],[11.34]
[0.06],[10.58]
[0.06],[11.65]
[0.064],[14.22]
[0.066],[14.49]
[0.066],[13.02]
[0.067],[12.52]
[0.06],[12.56]
[0.064],[11.59]
[0.069],[12.38]
[0.064],[13.57]
[0.057],[13.1]
[0.067],[11.78]
[0.066],[10.82]
[0.06],[10.07]
[0.063],[11.79]
[0.061],[14.07]
[-3.934],[543.18]
[-3.937],[503.]
[-3.941],[475.82]
[-3.937],[472.82]
[-3.94],[501.15]
[-3.944],[543.79]
[-3.935],[550.79]
[-3.935],[513.47]
[-3.943],[476.56]
[-3.938],[469.2]
[-3.941],[491.16]
[-3.934],[535.34]
[-3.934],[553.15]
[-3.938],[522.61]
[-3.937],[482.09]
[-3.935],[466.95]
[-3.943],[479.39]
[-3.937],[522.07]
[-3.94],[554.02]
[-3.963],[534.61]
[-3.938],[492.44]
[-3.944],[471.95]
[-3.94],[477.63]
[-3.938],[515.81]
[-3.94],[551.84]
[-3.94],[543.88]
[-3.935],[500.35]
[-3.94],[473.23]
[-3.935],[472.02]
[-3.943],[501.16]
[-3.943],[544.98]
[-3.941],[551.53]
[-3.945],[514.24]
[-3.94],[476.42]
[-3.937],[468.46]
[-3.941],[489.75]
[-3.934],[534.58]
[-3.934],[553.79]
[-3.941],[523.49]
[-3.94],[482.26]
[-3.937],[466.34]
[-3.943],[479.24]
[-3.935],[524.02]
[-3.938],[554.53]
[-3.938],[536.05]
[-3.94],[491.08]
[-3.935],[470.36]
[-3.948],[474.37]
[-3.935],[511.54]
[-3.934],[548.42]
[-3.937],[545.]
[-3.941],[504.34]
[-3.925],[474.23]
[-3.938],[469.39]
[-3.944],[498.96]
[-3.94],[543.67]
[-3.938],[550.79]
[-3.941],[512.89]
[-3.922],[476.68]
[-3.905],[468.5]
[-3.877],[488.51]
[-3.849],[534.66]
[-3.811],[553.96]
[-3.774],[525.57]
[-3.733],[485.65]
[-3.691],[468.35]
[-3.657],[474.31]
[-3.619],[510.81]
[-3.586],[538.73]
[-3.538],[522.17]
[-3.478],[480.15]
[-3.426],[451.83]
[-3.346],[452.19]
[-3.302],[481.74]
[-3.238],[515.94]
[-3.165],[509.88]
[-3.095],[467.71]
[-3.022],[433.55]
[-2.944],[423.05]
[-2.858],[441.64]
[-2.777],[475.53]
[-2.688],[478.27]
[-2.614],[443.49]
[-2.533],[406.59]
[-2.456],[395.16]
[-2.37],[403.73]
[-2.292],[424.36]
[-2.209],[432.49]
[-2.13],[410.99]
[-2.055],[381.47]
[-1.966],[360.18]
[-1.889],[350.29]
[-1.799],[360.54]
[-1.718],[377.72]
[-1.637],[373.02]
[-1.555],[343.29]
[-1.475],[313.13]
[-1.39],[296.1]
[-1.316],[298.01]
[-1.229],[315.33]
[-1.14],[312.62]
[-1.053],[283.77]
[-0.972],[253.26]
[-0.884],[235.07]
[-0.808],[228.52]
[-0.728],[238.39]
[-0.642],[232.6]
[-0.564],[206.31]
[-0.482],[181.85]
[-0.417],[165.41]
[-0.317],[146.41]
[-0.238],[133.77]
[-0.153],[119.54]
[-0.077],[102.29]
[0.004],[82.41]
[0.088],[63.4]
[0.165],[33.51]
[0.235],[7.63]
[0.313],[-8.5]
[0.389],[-21.65]
[0.468],[-43.74]
[0.55],[-72.03]
[0.639],[-94.59]
[0.721],[-111.06]
[0.803],[-129.72]
[0.883],[-158.71]
[0.96],[-180.45]
[1.045],[-191.48]
[1.12],[-195.84]
[1.199],[-211.68]
[1.286],[-244.15]
[1.373],[-271.06]
[1.455],[-276.24]
[1.532],[-269.31]
[1.621],[-264.23]
[1.704],[-281.41]
[1.78],[-323.41]
[1.861],[-352.82]
[1.935],[-344.65]
[2.01],[-324.1]
[2.096],[-316.13]
[2.185],[-335.63]
[2.27],[-381.66]
[2.352],[-407.57]
[2.43],[-394.45]
[2.51],[-373.45]
[2.595],[-368.39]
[2.672],[-377.32]
[2.753],[-415.71]
[2.833],[-447.02]
[2.913],[-444.73]
[3.],[-425.31]
[3.076],[-402.28]
[3.168],[-395.66]
[3.241],[-432.47]
[3.323],[-485.64]
[3.403],[-495.21]
[3.485],[-461.17]
[3.562],[-421.88]
[3.652],[-411.02]
[3.732],[-456.15]
[3.82],[-516.07]
[3.909],[-526.41]
[3.983],[-484.71]
[4.068],[-443.91]
[4.156],[-429.23]
[4.236],[-464.03]
[4.315],[-530.72]
[4.39],[-550.48]
[4.463],[-511.47]
[4.545],[-469.67]
[4.634],[-450.56]
[4.714],[-469.86]
[4.796],[-535.67]
[4.875],[-564.85]
[4.958],[-532.96]
[5.034],[-495.32]
[5.116],[-471.38]
[5.198],[-469.08]
[5.276],[-524.59]
[5.358],[-575.8]
[5.448],[-566.76]
[5.534],[-519.45]
[5.609],[-480.62]
[5.697],[-467.08]
[5.78],[-515.1]
[5.856],[-586.93]
[5.936],[-585.17]
[6.018],[-532.49]
[6.099],[-491.08]
[6.178],[-476.89]
[6.262],[-511.68]
[6.353],[-582.69]
[6.436],[-596.88]
[6.514],[-548.]
[6.591],[-503.49]
[6.676],[-484.61]
[6.748],[-506.03]
[6.834],[-572.25]
[6.917],[-600.67]
[6.99],[-560.4]
[7.08],[-518.08]
[7.16],[-498.54]
[7.249],[-496.77]
[7.322],[-547.46]
[7.413],[-594.42]
[7.493],[-583.17]
[7.569],[-535.95]
[7.65],[-503.39]
[7.739],[-488.43]
[7.812],[-528.14]
[7.903],[-593.69]
[7.995],[-600.84]
[8.081],[-552.39]
[8.161],[-506.91]
[8.243],[-485.39]
[8.321],[-513.27]
[8.405],[-582.7]
[8.486],[-607.06]
[8.563],[-565.28]
[8.648],[-512.47]
[8.727],[-492.04]
[8.813],[-508.59]
[8.885],[-568.85]
[8.968],[-602.96]
[9.04],[-574.98]
[9.122],[-528.26]
[9.196],[-506.88]
[9.281],[-502.18]
[9.372],[-541.45]
[9.462],[-591.73]
[9.544],[-593.36]
[9.629],[-555.15]
[9.724],[-513.82]
[9.806],[-491.43]
[9.895],[-515.86]
[9.977],[-580.62]
[10.062],[-605.51]
[10.136],[-569.31]
[10.218],[-517.99]
[10.294],[-491.38]
[10.376],[-502.11]
[10.458],[-564.59]
[10.543],[-604.75]
[10.611],[-576.63]
[10.687],[-522.69]
[10.763],[-498.42]
[10.842],[-500.1]
[10.929],[-543.4]
[11.007],[-590.77]
[11.101],[-582.15]
[11.183],[-542.59]
[11.265],[-515.76]
[11.348],[-500.3]
[11.424],[-512.97]
[11.51],[-565.14]
[11.589],[-592.3]
[11.671],[-565.89]
[11.754],[-523.4]
[11.839],[-493.64]
[11.918],[-490.32]
[12.003],[-545.98]
[12.082],[-597.86]
[12.168],[-583.66]
[12.243],[-528.9]
[12.325],[-493.88]
[12.402],[-484.63]
[12.482],[-526.79]
[12.563],[-586.07]
[12.634],[-588.83]
[12.683],[-536.85]
[12.708],[-489.42]
[12.716],[-481.97]
[12.713],[-524.23]
[12.684],[-604.]
[12.649],[-612.41]
[12.586],[-538.2]
[12.525],[-488.11]
[12.45],[-503.86]
[12.377],[-525.]
[12.303],[-547.49]
[12.228],[-568.05]
[12.146],[-569.02]
[12.072],[-549.27]
[11.98],[-519.99]
[11.89],[-493.6]
[11.803],[-509.03]
[11.712],[-569.31]
[11.624],[-595.09]
[11.526],[-564.52]
[11.439],[-526.3]
[11.338],[-501.34]
[11.243],[-493.25]
[11.151],[-542.03]
[11.064],[-600.73]
[10.978],[-598.37]
[10.893],[-541.47]
[10.812],[-490.95]
[10.738],[-482.47]
[10.658],[-541.4]
[10.578],[-603.97]
[10.499],[-593.18]
[10.42],[-537.01]
[10.347],[-509.05]
[10.265],[-511.63]
[10.182],[-526.27]
[10.104],[-563.95]
[10.025],[-588.83]
[9.952],[-574.97]
[9.869],[-539.46]
[9.785],[-506.28]
[9.698],[-492.63]
[9.607],[-544.04]
[9.513],[-601.15]
[9.432],[-596.05]
[9.369],[-545.62]
[9.269],[-508.19]
[9.188],[-494.8]
[9.116],[-528.22]
[9.049],[-591.44]
[8.976],[-604.34]
[8.9],[-560.42]
[8.828],[-513.01]
[8.755],[-492.09]
[8.688],[-519.34]
[8.612],[-581.04]
[8.538],[-602.03]
[8.451],[-563.69]
[8.384],[-522.68]
[8.299],[-511.75]
[8.215],[-513.12]
[8.129],[-549.41]
[8.05],[-588.11]
[7.965],[-583.62]
[7.879],[-549.52]
[7.797],[-514.5]
[7.714],[-493.39]
[7.634],[-525.42]
[7.537],[-590.73]
[7.468],[-600.53]
[7.378],[-554.27]
[7.305],[-511.05]
[7.211],[-491.32]
[7.131],[-516.39]
