slip,lateral_force
[0.064],[22.93]
[0.063],[19.57]
[0.066],[20.33]
[0.066],[22.62]
[0.06],[23.39]
[0.066],[21.73]
[0.061],[21.52]
[0.064],[22.23]
[0.061],[21.68]
[0.063],[21.93]
[0.063],[19.99]
[0.058],[19.62]
[0.063],[22.89]
[0.063],[24.31]
[0.061],[19.57]
[0.061],[19.71]
[0.063],[19.93]
[0.064],[21.22]
[0.063],[20.89]
[0.064],[22.86]
[0.06],[22.22]
[0.061],[18.78]
[0.064],[17.81]
[0.064],[20.53]
[0.063],[23.72]
[0.06],[23.63]
[0.063],[20.11]
[0.058],[17.64]
[0.064],[20.6]
[0.066],[24.02]
[0.063],[23.76]
[0.066],[22.18]
[0.063],[20.2]
[0.061],[21.64]
[0.037],[21.81]
[0.064],[21.86]
[0.064],[21.67]
[0.064],[24.27]
[0.058],[21.47]
[0.063],[20.92]
[0.061],[19.76]
[0.064],[22.53]
[0.061],[20.3]
[0.061],[19.43]
[0.069],[22.82]
[-3.937],[633.77]
[-3.934],[652.02]
[-3.929],[677.65]
[-3.937],[679.01]
[-3.934],[653.8]
[-3.932],[638.53]
[-3.932],[633.06]
[-3.937],[647.8]
[-3.935],[674.28]
[-3.937],[683.22]
[-3.94],[660.68]
[-3.932],[639.28]
[-3.937],[633.18]
[-3.935],[643.53]
[-3.935],[670.72]
[-3.931],[684.57]
[-3.935],[665.75]
[-3.935],[641.36]
[-3.934],[635.13]
[-3.932],[640.88]
[-3.934],[666.58]
[-3.938],[685.41]
[-3.937],[671.95]
[-3.934],[645.48]
[-3.935],[633.61]
[-3.934],[634.54]
[-3.931],[659.62]
[-3.935],[681.77]
[-3.937],[674.01]
[-3.935],[645.51]
[-3.934],[632.31]
[-3.934],[633.19]
[-3.931],[652.75]
[-3.94],[674.83]
[-3.935],[675.59]
[-3.934],[649.76]
[-3.938],[631.65]
[-3.937],[629.67]
[-3.935],[644.97]
[-3.934],[671.42]
[-3.925],[679.07]
[-3.935],[655.25]
[-3.937],[635.12]
[-3.934],[628.9]
[-3.934],[637.34]
[-3.935],[666.]
[-3.934],[680.38]
[-3.932],[663.06]
[-3.934],[638.56]
[-3.934],[628.82]
[-3.932],[634.55]
[-3.932],[660.93]
[-3.935],[682.55]
[-3.938],[668.6]
[-3.934],[640.73]
[-3.937],[631.]
[-3.934],[633.17]
[-3.929],[656.8]
[-3.921],[679.09]
[-3.906],[672.67]
[-3.877],[645.63]
[-3.843],[630.28]
[-3.815],[626.22]
[-3.779],[646.43]
[-3.738],[672.81]
[-3.706],[672.11]
[-3.669],[640.01]
[-3.63],[622.62]
[-3.593],[620.6]
[-3.549],[632.57]
[-3.503],[651.37]
[-3.444],[652.78]
[-3.388],[633.21]
[-3.327],[614.97]
[-3.266],[605.3]
[-3.196],[603.44]
[-3.125],[620.9]
[-3.052],[632.73]
[-2.969],[617.37]
[-2.889],[592.18]
[-2.811],[579.78]
[-2.723],[576.45]
[-2.633],[584.12]
[-2.554],[593.99]
[-2.473],[588.19]
[-2.392],[569.14]
[-2.318],[545.03]
[-2.231],[527.86]
[-2.15],[531.6]
[-2.068],[546.8]
[-1.988],[547.52]
[-1.895],[520.18]
[-1.816],[488.38]
[-1.706],[471.52]
[-1.647],[472.52]
[-1.569],[476.77]
[-1.482],[470.37]
[-1.403],[449.55]
[-1.323],[422.4]
[-1.232],[404.31]
[-1.153],[392.82]
[-1.063],[387.99]
[-0.976],[376.88]
[-0.889],[358.06]
[-0.805],[334.39]
[-0.721],[311.47]
[-0.639],[292.83]
[-0.56],[274.4]
[-0.485],[258.39]
[-0.401],[242.91]
[-0.319],[226.96]
[-0.243],[200.67]
[-0.158],[163.95]
[-0.077],[140.53]
[0.003],[126.01]
[0.082],[111.19]
[0.155],[82.65]
[0.232],[43.14]
[0.304],[16.28]
[0.384],[-0.22]
