slip,lateral_force
[0.06],[85.29]
[0.058],[82.64]
[0.058],[82.59]
[0.069],[85.37]
[0.053],[88.29]
[0.066],[87.22]
[0.069],[85.89]
[0.057],[81.04]
[0.06],[80.45]
[0.066],[86.34]
[0.064],[88.8]
[0.066],[87.34]
[0.066],[84.8]
[0.064],[84.19]
[0.06],[83.7]
[0.064],[86.33]
[0.061],[86.72]
[0.066],[86.4]
[0.06],[85.96]
[0.06],[84.92]
[0.063],[84.35]
[0.067],[84.27]
[0.066],[86.15]
[0.064],[86.54]
[0.058],[86.98]
[0.066],[86.02]
[0.061],[82.84]
[0.07],[83.1]
[0.058],[84.94]
[0.063],[88.18]
[0.064],[88.55]
[0.066],[86.68]
[0.064],[82.52]
[0.057],[83.22]
[0.06],[88.01]
[0.057],[88.94]
[0.058],[87.91]
[0.063],[86.51]
[0.061],[85.28]
[0.069],[84.63]
[0.066],[86.25]
[0.063],[87.75]
[0.064],[89.29]
[0.064],[87.61]
[0.06],[85.33]
[-3.935],[932.61]
[-3.935],[952.32]
[-3.938],[945.29]
[-3.934],[920.11]
[-3.941],[903.49]
[-3.941],[904.8]
[-3.94],[925.2]
[-3.94],[949.58]
[-3.94],[948.28]
[-3.938],[923.48]
[-3.94],[906.93]
[-3.934],[905.24]
[-3.934],[921.63]
[-3.945],[946.38]
[-3.937],[949.87]
[-3.94],[928.27]
[-3.938],[908.76]
[-3.941],[903.46]
[-3.972],[914.9]
[-3.941],[941.05]
[-3.937],[956.82]
[-3.943],[937.44]
[-3.938],[914.92]
[-3.938],[906.77]
[-3.943],[914.65]
[-3.938],[938.96]
[-3.938],[954.85]
[-3.935],[943.19]
[-3.932],[917.51]
[-3.943],[906.31]
[-3.934],[909.78]
[-3.944],[932.06]
[-3.938],[952.41]
[-3.943],[942.51]
[-3.937],[918.22]
[-3.934],[905.61]
[-3.934],[908.89]
[-3.937],[926.47]
[-3.943],[947.69]
[-3.931],[946.13]
[-3.944],[923.52]
[-3.941],[909.48]
[-3.934],[907.73]
[-3.94],[923.78]
[-3.931],[946.93]
[-3.94],[950.17]
[-3.943],[927.23]
[-3.945],[908.08]
[-3.938],[904.78]
[-3.945],[918.33]
[-3.937],[946.16]
[-3.937],[954.15]
[-3.937],[934.66]
[-3.938],[911.9]
[-3.94],[906.56]
[-3.945],[916.26]
[-3.94],[940.33]
[-3.925],[954.98]
[-3.916],[938.79]
[-3.907],[914.85]
[-3.88],[905.29]
[-3.843],[911.36]
[-3.802],[931.62]
[-3.77],[949.4]
[-3.731],[937.82]
[-3.685],[909.26]
[-3.659],[889.33]
[-3.612],[884.89]
[-3.577],[901.76]
[-3.522],[919.92]
[-3.478],[913.05]
[-3.419],[880.8]
[-3.348],[856.99]
[-3.292],[850.79]
[-3.228],[858.24]
[-3.152],[870.18]
[-3.076],[865.84]
[-3.003],[838.52]
[-2.927],[814.5]
[-2.848],[801.45]
[-2.764],[797.2]
[-2.685],[802.45]
[-2.602],[799.68]
[-2.522],[781.57]
[-2.446],[757.6]
[-2.362],[735.2]
[-2.276],[719.81]
[-2.206],[718.46]
[-2.12],[721.25]
[-2.041],[707.72]
[-1.959],[682.36]
[-1.868],[653.11]
[-1.794],[630.16]
[-1.707],[628.19]
[-1.628],[628.9]
[-1.552],[616.84]
[-1.471],[585.05]
[-1.393],[551.38]
[-1.302],[532.06]
[-1.225],[525.29]
[-1.14],[520.45]
[-1.055],[501.42]
[-0.969],[471.24]
[-0.88],[446.13]
[-0.794],[424.5]
[-0.713],[405.51]
[-0.648],[388.45]
[-0.561],[370.78]
[-0.478],[345.55]
[-0.403],[323.28]
[-0.317],[297.01]
[-0.241],[264.8]
[-0.161],[239.48]
[-0.075],[218.21]
[0.009],[196.58]
[0.092],[168.91]
[0.165],[131.57]
[0.24],[97.54]
[0.311],[70.65]
[0.392],[50.24]
[0.478],[22.11]
[0.553],[-8.97]
[0.637],[-42.14]
[0.727],[-71.13]
[0.81],[-93.64]
[0.892],[-120.6]
[0.969],[-155.7]
[1.051],[-183.36]
[1.13],[-206.25]
[1.207],[-220.41]
[1.289],[-250.39]
[1.365],[-285.74]
[1.444],[-312.68]
[1.539],[-327.42]
[1.626],[-338.1]
[1.707],[-357.7]
[1.782],[-387.6]
[1.865],[-417.42]
[1.94],[-440.11]
[2.017],[-447.79]
[2.099],[-458.17]
[2.191],[-465.58]
[2.27],[-492.65]
[2.351],[-529.12]
[2.441],[-545.79]
[2.523],[-547.42]
[2.592],[-555.8]
[2.672],[-563.95]
[2.757],[-581.22]
[2.833],[-609.85]
[2.929],[-634.62]
[3.],[-638.63]
[3.08],[-637.84]
[3.166],[-634.41]
[3.253],[-643.91]
[3.331],[-685.69]
[3.41],[-713.64]
[3.486],[-714.43]
[3.571],[-698.83]
[3.653],[-690.16]
[3.739],[-713.16]
[3.828],[-751.82]
[3.912],[-782.94]
[3.992],[-776.13]
[4.073],[-756.66]
[4.157],[-750.06]
[4.235],[-764.08]
[4.312],[-810.49]
[4.402],[-837.48]
[4.478],[-826.58]
[4.54],[-811.12]
[4.638],[-798.29]
[4.722],[-808.31]
[4.802],[-845.88]
[4.882],[-878.19]
[4.961],[-877.16]
[5.042],[-856.54]
[5.122],[-845.4]
[5.2],[-839.37]
[5.289],[-874.25]
[5.366],[-917.88]
[5.448],[-919.41]
[5.539],[-896.78]
[5.618],[-880.51]
[5.695],[-865.97]
[5.78],[-901.48]
[5.868],[-951.29]
[5.944],[-959.99]
[6.02],[-928.61]
[6.103],[-900.46]
[6.191],[-895.26]
[6.27],[-924.62]
[6.35],[-974.82]
[6.435],[-981.21]
[6.517],[-943.86]
[6.588],[-916.39]
[6.669],[-915.82]
[6.754],[-936.14]
[6.833],[-978.75]
[6.914],[-993.3]
[6.996],[-968.21]
[7.082],[-941.42]
[7.163],[-927.08]
[7.246],[-939.81]
[7.327],[-982.31]
[7.41],[-1007.54]
[7.495],[-993.09]
[7.577],[-960.67]
[7.654],[-938.73]
[7.743],[-940.21]
[7.819],[-987.88]
[7.911],[-1024.36]
[7.992],[-1012.1]
[8.081],[-973.07]
[8.161],[-945.]
[8.242],[-943.39]
[8.331],[-987.82]
[8.4],[-1033.72]
[8.48],[-1024.65]
[8.562],[-975.89]
[8.645],[-946.42]
[8.736],[-947.86]
[8.809],[-988.37]
[8.866],[-1027.97]
[8.967],[-1019.4]
[9.053],[-983.44]
[9.128],[-960.22]
[9.202],[-950.71]
[9.291],[-969.87]
[9.38],[-1006.93]
[9.464],[-1021.88]
[9.55],[-996.01]
[9.644],[-963.69]
[9.728],[-942.61]
[9.813],[-951.94]
[9.902],[-991.68]
[9.978],[-1013.23]
[10.06],[-990.73]
[10.146],[-953.68]
[10.224],[-934.24]
[10.31],[-932.72]
[10.385],[-969.96]
[10.47],[-1008.71]
[10.551],[-994.62]
[10.62],[-946.73]
[10.696],[-918.27]
[10.772],[-919.91]
[10.853],[-953.94]
[10.931],[-985.38]
[11.018],[-984.21]
[11.101],[-951.25]
[11.192],[-928.58]
[11.269],[-921.71]
[11.352],[-931.91]
[11.443],[-958.42]
[11.519],[-968.94]
[11.601],[-951.66]
[11.674],[-931.76]
[11.759],[-918.53]
[11.845],[-917.51]
[11.924],[-944.77]
[12.003],[-968.02]
[12.088],[-964.85]
[12.168],[-938.42]
[12.249],[-913.3]
[12.326],[-903.83]
[12.409],[-924.82]
[12.493],[-956.93]
[12.566],[-962.88]
[12.645],[-940.]
[12.691],[-901.25]
[12.722],[-868.77]
[12.724],[-905.84]
[12.716],[-976.44]
[12.694],[-998.21]
[12.652],[-944.63]
[12.589],[-876.31]
[12.52],[-865.42]
[12.449],[-908.83]
[12.38],[-955.36]
[12.307],[-954.01]
[12.228],[-919.93]
[12.151],[-907.27]
[12.063],[-914.4]
[11.974],[-909.19]
[11.885],[-921.72]
[11.8],[-949.79]
[11.709],[-950.83]
[11.621],[-932.55]
[11.529],[-925.35]
[11.434],[-920.02]
[11.344],[-922.04]
[11.247],[-941.04]
[11.157],[-962.09]
[11.06],[-966.19]
[10.98],[-949.69]
[10.893],[-918.9]
[10.817],[-906.6]
[10.736],[-945.91]
[10.665],[-992.72]
[10.585],[-981.16]
[10.496],[-934.95]
[10.421],[-916.4]
[10.341],[-931.6]
[10.263],[-973.78]
[10.182],[-1001.35]
[10.106],[-985.65]
[10.03],[-959.27]
[9.951],[-952.28]
[9.867],[-949.39]
[9.785],[-966.33]
[9.698],[-993.17]
[9.607],[-1003.35]
[9.519],[-994.29]
[9.446],[-977.95]
[9.363],[-960.32]
[9.283],[-955.55]
[9.199],[-985.94]
[9.133],[-1014.25]
[9.05],[-1012.19]
[8.981],[-986.41]
[8.905],[-959.63]
[8.831],[-947.89]
[8.762],[-983.36]
[8.688],[-1026.42]
[8.609],[-1024.38]
[8.533],[-989.17]
[8.46],[-959.9]
[8.379],[-951.43]
[8.296],[-983.84]
[8.217],[-1024.88]
[8.131],[-1020.7]
[8.044],[-992.44]
[7.957],[-976.25]
[7.87],[-966.08]
[7.786],[-975.58]
[7.708],[-1003.83]
[7.629],[-1016.74]
[7.54],[-1005.72]
[7.467],[-981.77]
[7.384],[-960.]
[7.293],[-956.79]
[7.21],[-988.19]
[7.121],[-1013.41]
[7.04],[-1007.5]
[6.964],[-978.89]
[6.882],[-955.33]
[6.802],[-945.64]
[6.729],[-974.99]
[6.653],[-1006.66]
[6.566],[-998.99]
[6.483],[-968.16]
[6.403],[-944.38]
[6.321],[-929.88]
[6.239],[-950.75]
[6.156],[-982.51]
[6.078],[-979.97]
[6.007],[-952.23]
[5.931],[-927.75]
[5.855],[-915.48]
[5.767],[-921.62]
[5.678],[-943.47]
[5.597],[-952.84]
[5.514],[-933.89]
[5.426],[-912.4]
[5.346],[-889.03]
[5.265],[-882.08]
[5.189],[-908.62]
[5.108],[-927.95]
[5.03],[-914.49]
[4.945],[-881.83]
[4.869],[-852.98]
[4.783],[-849.34]
[4.709],[-872.26]
[4.619],[-894.23]
[4.537],[-880.01]
[4.467],[-851.93]
[4.391],[-825.29]
[4.302],[-814.07]
[4.223],[-831.41]
[4.137],[-848.86]
[4.055],[-842.31]
[3.975],[-812.36]
[3.893],[-786.06]
[3.809],[-775.19]
[3.735],[-782.16]
[3.65],[-793.38]
[3.568],[-791.48]
[3.501],[-775.94]
[3.413],[-757.33]
[3.34],[-726.81]
[3.258],[-713.75]
[3.171],[-729.26]
[3.086],[-738.17]
[3.02],[-724.82]
[2.935],[-692.13]
[2.858],[-666.11]
[2.775],[-655.31]
[2.7],[-660.1]
[2.617],[-663.97]
[2.539],[-645.85]
[2.457],[-620.33]
[2.364],[-593.5]
[2.285],[-571.89]
[2.207],[-572.03]
[2.131],[-567.15]
[2.047],[-552.61]
[1.973],[-525.87]
[1.903],[-504.29]
[1.826],[-484.02]
[1.745],[-467.8]
[1.662],[-455.72]
[1.576],[-441.64]
[1.493],[-423.83]
[1.409],[-402.52]
[1.336],[-373.58]
[1.256],[-350.01]
[1.177],[-334.68]
[1.096],[-323.65]
[1.006],[-308.41]
[0.924],[-276.91]
[0.848],[-245.43]
[0.759],[-220.76]
[0.675],[-206.66]
[0.598],[-188.28]
[0.515],[-156.31]
[0.433],[-127.76]
[0.368],[-100.95]
[0.284],[-74.51]
[0.202],[-51.23]
[0.118],[-21.09]
[0.034],[6.35]
[-0.045],[37.55]
[-0.126],[68.1]
[-0.2],[93.74]
[-0.288],[121.8]
[-0.363],[161.47]
