slip,lateral_force
[0.057],[88.51]
[0.069],[90.27]
[0.058],[95.41]
[0.066],[96.05]
[0.058],[93.61]
[0.063],[89.63]
[0.064],[90.52]
[0.056],[91.74]
[0.058],[94.69]
[0.064],[94.73]
[0.058],[91.46]
[0.064],[92.5]
[0.066],[91.92]
[0.066],[90.44]
[0.061],[91.36]
[0.066],[93.27]
[0.061],[94.9]
[0.058],[92.53]
[0.067],[89.22]
[0.061],[90.35]
[0.066],[92.73]
[0.061],[94.65]
[0.06],[93.42]
[0.064],[90.84]
[0.061],[89.83]
[0.066],[91.2]
[0.063],[90.79]
[0.056],[93.24]
[0.066],[93.31]
[0.064],[93.48]
[0.057],[89.83]
[0.058],[89.05]
[0.064],[91.47]
[0.066],[93.22]
[0.058],[92.67]
[0.064],[93.52]
[0.063],[91.11]
[0.061],[89.7]
[0.058],[89.62]
[0.063],[91.96]
[0.064],[96.12]
[0.057],[93.67]
[0.067],[88.98]
[0.066],[88.36]
[0.066],[90.83]
[-3.938],[1122.4]
[-3.943],[1122.55]
[-3.935],[1139.9]
[-3.941],[1158.51]
[-3.931],[1154.76]
[-3.941],[1136.75]
[-3.94],[1126.09]
[-3.941],[1123.89]
[-3.935],[1135.63]
[-3.938],[1155.7]
[-3.94],[1157.53]
[-3.931],[1138.09]
[-3.934],[1125.91]
[-3.931],[1123.96]
[-3.935],[1137.89]
[-3.935],[1159.2]
[-3.931],[1161.71]
[-3.931],[1143.53]
[-3.938],[1132.95]
[-3.938],[1127.28]
[-3.938],[1135.07]
[-3.934],[1154.39]
[-3.94],[1162.39]
[-3.931],[1146.98]
[-3.938],[1132.03]
[-3.934],[1124.51]
[-3.934],[1133.06]
[-3.938],[1152.42]
[-3.931],[1162.46]
[-3.934],[1147.79]
[-3.937],[1132.8]
[-3.94],[1125.41]
[-3.935],[1129.01]
[-3.935],[1146.1]
[-3.94],[1160.99]
[-3.935],[1149.89]
[-3.934],[1133.97]
[-3.935],[1126.04]
[-3.937],[1127.37]
[-3.934],[1145.47]
[-3.932],[1164.65]
[-3.931],[1152.61]
[-3.935],[1135.49]
