slip,lateral_force
[0.067],[73.23]
[0.066],[70.52]
[0.056],[67.52]
[0.066],[70.34]
[0.064],[72.45]
[0.066],[75.04]
[0.066],[75.22]
[0.07],[72.18]
[0.072],[67.33]
[0.072],[69.61]
[0.063],[73.32]
[0.066],[73.07]
[0.07],[71.6]
[0.072],[72.02]
[0.072],[69.91]
[0.066],[68.94]
[0.072],[69.14]
[0.067],[70.38]
[0.061],[73.64]
[0.069],[71.96]
[0.072],[69.16]
[0.067],[67.5]
[0.067],[70.76]
[0.073],[71.28]
[0.069],[74.35]
[0.063],[73.14]
[0.069],[71.23]
[0.072],[68.29]
[0.072],[69.41]
[0.063],[71.61]
[0.069],[75.23]
[0.067],[75.21]
[0.067],[70.26]
[0.07],[68.13]
[0.07],[70.89]
[0.058],[74.44]
[0.069],[73.1]
[0.07],[71.75]
[0.063],[70.11]
[0.063],[69.51]
[0.066],[68.86]
[0.085],[70.44]
[0.072],[71.75]
[0.066],[73.]
[0.064],[71.31]
[-3.938],[955.13]
[-3.94],[976.34]
[-3.935],[995.27]
[-3.934],[988.93]
[-3.937],[970.01]
[-3.941],[956.74]
[-3.934],[955.7]
[-3.931],[969.96]
[-3.944],[990.37]
[-3.94],[994.02]
[-3.937],[974.17]
[-3.932],[959.27]
[-3.932],[952.18]
[-3.943],[963.85]
[-3.937],[986.84]
[-3.937],[994.72]
[-3.935],[980.31]
[-3.938],[964.03]
[-3.937],[953.33]
[-3.944],[959.53]
[-3.938],[982.97]
[-3.934],[998.34]
[-3.937],[984.47]
[-3.944],[963.29]
[-3.94],[951.3]
[-3.944],[956.44]
[-3.944],[978.05]
[-3.935],[993.05]
[-3.94],[982.59]
[-3.937],[963.83]
[-3.943],[952.49]
[-3.934],[952.96]
[-3.94],[971.07]
[-3.932],[989.52]
[-3.941],[986.15]
[-3.937],[966.52]
[-3.944],[954.53]
[-3.934],[952.14]
[-3.941],[966.46]
[-3.935],[987.54]
[-3.94],[989.71]
[-3.941],[971.3]
[-3.943],[955.12]
[-3.941],[949.56]
[-3.937],[961.38]
[-3.935],[983.48]
[-3.932],[991.22]
[-3.941],[976.82]
[-3.937],[958.39]
[-3.94],[948.05]
[-3.921],[956.6]
[-3.941],[979.56]
[-3.947],[994.16]
[-3.941],[981.17]
[-3.94],[960.69]
[-3.937],[949.83]
[-3.934],[953.03]
[-3.929],[975.96]
[-3.921],[995.14]
[-3.905],[983.95]
[-3.877],[961.34]
[-3.843],[948.41]
[-3.814],[949.05]
[-3.776],[965.16]
[-3.736],[982.24]
[-3.698],[974.51]
[-3.665],[949.88]
[-3.615],[931.65]
[-3.579],[925.41]
[-3.542],[934.15]
[-3.485],[948.25]
[-3.426],[944.11]
[-3.364],[924.96]
[-3.307],[904.62]
[-3.239],[889.73]
[-3.168],[885.37]
[-3.098],[895.16]
[-3.023],[899.33]
[-2.946],[883.49]
[-2.867],[860.08]
[-2.782],[838.6]
[-2.694],[824.37]
[-2.612],[826.48]
[-2.539],[830.03]
[-2.451],[820.47]
[-2.371],[795.69]
[-2.294],[767.8]
[-2.218],[746.82]
[-2.133],[744.42]
[-2.049],[750.96]
[-1.972],[736.73]
[-1.884],[702.58]
[-1.801],[674.49]
[-1.712],[655.51]
[-1.63],[646.64]
[-1.561],[641.45]
[-1.453],[626.9]
[-1.387],[599.08]
[-1.31],[571.53]
[-1.219],[548.95]
[-1.14],[534.63]
[-1.051],[522.69]
[-0.969],[501.37]
[-0.877],[479.43]
[-0.801],[456.14]
[-0.716],[426.58]
[-0.634],[397.25]
[-0.56],[374.76]
[-0.482],[360.85]
[-0.398],[342.54]
[-0.311],[314.75]
[-0.235],[282.47]
[-0.155],[245.67]
[-0.064],[219.81]
[0.01],[197.7]
[0.092],[171.29]
[0.17],[136.05]
[0.246],[98.22]
[0.32],[65.54]
[0.403],[40.09]
[0.481],[12.47]
[0.557],[-24.28]
[0.646],[-61.27]
[0.725],[-90.38]
[0.813],[-113.93]
[0.887],[-143.47]
[0.971],[-185.48]
[1.055],[-225.67]
[1.136],[-247.]
[1.212],[-262.91]
[1.294],[-288.17]
[1.38],[-321.96]
[1.457],[-357.]
[1.541],[-380.79]
[1.634],[-396.83]
[1.707],[-411.92]
[1.789],[-431.42]
[1.861],[-457.7]
[1.94],[-483.72]
[2.019],[-503.69]
[2.105],[-524.14]
[2.178],[-534.19]
[2.26],[-544.9]
[2.348],[-558.44]
[2.435],[-576.8]
[2.513],[-612.19]
[2.59],[-634.67]
[2.668],[-641.37]
[2.744],[-631.56]
[2.829],[-629.99]
[2.906],[-668.]
[2.992],[-709.1]
[3.073],[-724.45]
