slip,lateral_force
[0.058],[5.39]
[0.063],[5.33]
[0.06],[3.95]
[0.061],[2.48]
[0.06],[3.18]
[0.06],[5.34]
[0.058],[4.71]
[0.06],[4.65]
[0.061],[3.91]
[0.056],[2.53]
[0.064],[4.53]
[0.063],[6.04]
[0.06],[6.12]
[0.061],[6.75]
[0.06],[5.28]
[0.06],[3.18]
[0.057],[2.46]
[0.063],[7.37]
[0.06],[7.46]
[0.064],[5.41]
[0.06],[5.98]
[0.06],[3.9]
[0.06],[3.83]
[0.063],[6.65]
[0.063],[7.51]
[0.06],[6.76]
[0.058],[5.36]
[0.057],[3.21]
[0.061],[1.8]
[0.06],[5.26]
[0.054],[7.5]
[0.06],[5.38]
[0.058],[3.93]
[0.057],[3.91]
[0.061],[1.78]
[0.06],[5.27]
[0.063],[7.44]
[0.057],[6.78]
[0.06],[4.65]
[0.058],[4.6]
[0.06],[3.17]
[0.058],[6.03]
[0.06],[8.1]
[0.061],[5.36]
[0.061],[6.03]
[-3.932],[1776.66]
[-3.929],[1773.23]
[-3.932],[1779.6]
[-3.926],[1789.91]
[-3.934],[1798.16]
[-3.934],[1792.58]
[-3.934],[1779.46]
[-3.934],[1772.53]
[-3.931],[1773.99]
[-3.934],[1787.83]
[-3.934],[1799.6]
[-3.931],[1791.83]
[-3.937],[1779.38]
[-3.931],[1771.13]
[-3.932],[1769.12]
[-3.934],[1785.07]
[-3.932],[1795.4]
[-3.931],[1794.65]
[-3.937],[1777.97]
[-3.931],[1765.61]
[-3.932],[1770.53]
[-3.934],[1783.71]
[-3.932],[1792.65]
[-3.935],[1791.2]
[-3.935],[1778.67]
[-3.937],[1769.03]
[-3.932],[1769.16]
[-3.937],[1777.5]
[-3.934],[1788.48]
[-3.935],[1790.52]
[-3.935],[1781.45]
[-3.926],[1766.92]
[-3.932],[1764.28]
[-3.935],[1773.31]
[-3.934],[1786.42]
[-3.935],[1789.82]
[-3.935],[1780.07]
[-3.931],[1766.93]
[-3.932],[1762.86]
[-3.935],[1767.8]
[-3.934],[1782.34]
[-3.931],[1788.44]
[-3.935],[1782.19]
[-3.934],[1766.93]
[-3.932],[1756.6]
[-3.935],[1763.6]
[-3.931],[1782.3]
[-3.926],[1789.89]
[-3.932],[1780.07]
[-3.929],[1764.86]
[-3.929],[1756.56]
[-3.928],[1764.29]
[-3.931],[1777.45]
[-3.935],[1785.04]
[-3.931],[1780.77]
[-3.934],[1769.66]
[-3.931],[1759.31]
[-3.926],[1761.49]
[-3.916],[1773.99]
[-3.9],[1780.19]
[-3.871],[1776.64]
[-3.845],[1766.25]
[-3.808],[1748.95]
