slip,lateral_force
[0.066],[25.02]
[0.063],[23.73]
[0.066],[24.72]
[0.064],[24.72]
[0.066],[25.89]
[0.064],[26.51]
[0.069],[25.77]
[0.066],[25.2]
[0.069],[23.27]
[0.061],[24.06]
[0.066],[25.99]
[0.063],[27.13]
[0.064],[27.04]
[0.064],[24.45]
[0.06],[22.62]
[0.069],[23.35]
[0.064],[25.24]
[0.064],[25.76]
[0.067],[24.95]
[0.064],[24.99]
[0.069],[24.57]
[0.064],[23.38]
[0.066],[23.91]
[0.06],[25.81]
[0.061],[27.11]
[0.064],[27.79]
[0.066],[23.96]
[0.067],[24.1]
[0.064],[24.58]
[0.063],[27.25]
[0.064],[27.16]
[0.063],[27.14]
[0.069],[25.27]
[0.064],[23.31]
[0.066],[24.04]
[0.063],[26.63]
[0.063],[27.17]
[0.064],[25.66]
[0.064],[23.1]
[0.069],[23.35]
[0.064],[24.12]
[0.06],[23.89]
[0.07],[25.78]
[0.063],[27.08]
[0.064],[25.19]
[-3.934],[959.9]
[-3.938],[979.97]
[-3.934],[995.94]
[-3.935],[986.08]
[-3.94],[966.61]
[-3.91],[956.88]
[-3.937],[956.29]
[-3.935],[972.42]
[-3.938],[995.3]
[-3.937],[994.51]
[-3.934],[972.14]
[-3.937],[954.78]
[-3.937],[952.19]
[-3.94],[970.96]
[-3.94],[996.01]
[-3.937],[1000.67]
[-3.938],[979.77]
[-3.938],[963.81]
[-3.937],[957.62]
[-3.934],[968.92]
[-3.938],[991.84]
[-3.941],[1000.73]
[-3.937],[983.91]
[-3.935],[966.59]
[-3.941],[956.15]
[-3.937],[961.83]
[-3.938],[982.77]
[-3.937],[996.64]
[-3.935],[986.69]
[-3.937],[965.86]
[-3.935],[955.51]
[-3.934],[956.94]
[-3.938],[975.83]
[-3.938],[994.52]
[-3.941],[989.6]
[-3.937],[969.42]
[-3.94],[956.94]
[-3.937],[955.54]
[-3.94],[971.62]
[-3.937],[992.48]
[-3.937],[992.28]
[-3.938],[971.45]
[-3.935],[957.44]
[-3.938],[954.2]
[-3.937],[966.09]
[-3.937],[989.74]
[-3.937],[995.91]
[-3.937],[977.75]
[-3.935],[960.34]
[-3.938],[954.11]
[-3.94],[962.65]
[-3.937],[984.93]
[-3.937],[997.29]
[-3.938],[981.87]
[-3.938],[964.5]
[-3.94],[955.62]
[-3.934],[959.76]
[-3.932],[985.51]
[-3.924],[1008.44]
[-3.9],[994.43]
[-3.88],[967.36]
[-3.845],[957.7]
[-3.814],[959.21]
[-3.771],[977.21]
[-3.739],[993.17]
[-3.698],[984.12]
[-3.662],[959.79]
[-3.621],[941.76]
[-3.581],[934.23]
[-3.536],[944.81]
[-3.488],[960.76]
[-3.429],[957.09]
[-3.368],[933.56]
[-3.307],[916.78]
[-3.242],[902.97]
[-3.172],[900.35]
[-3.103],[908.75]
[-3.026],[912.89]
[-2.948],[897.51]
[-2.865],[875.31]
[-2.791],[854.58]
[-2.704],[842.99]
[-2.625],[843.06]
[-2.541],[846.31]
[-2.462],[839.36]
[-2.384],[813.01]
[-2.305],[781.04]
[-2.226],[758.84]
[-2.14],[755.69]
[-2.061],[761.88]
[-1.979],[750.02]
[-1.892],[717.39]
[-1.807],[685.45]
[-1.726],[660.47]
[-1.646],[654.41]
[-1.564],[648.12]
[-1.484],[632.87]
[-1.399],[602.95]
[-1.316],[573.08]
[-1.237],[550.95]
[-1.145],[535.92]
[-1.064],[519.33]
[-0.972],[496.91]
[-0.892],[472.58]
[-0.808],[446.86]
[-0.724],[419.09]
[-0.64],[390.14]
[-0.569],[361.21]
[-0.49],[340.33]
[-0.408],[321.98]
[-0.325],[297.89]
[-0.244],[258.26]
[-0.161],[217.46]
[-0.069],[189.14]
[0.003],[167.55]
[0.083],[143.78]
[0.158],[102.87]
[0.232],[57.79]
[0.308],[27.45]
[0.384],[-0.17]
[0.463],[-29.88]
[0.547],[-73.75]
[0.633],[-115.54]
[0.715],[-139.16]
[0.795],[-166.71]
[0.876],[-209.49]
[0.956],[-253.96]
[1.034],[-293.59]
[1.108],[-315.91]
[1.191],[-341.56]
[1.275],[-371.24]
[1.351],[-403.79]
[1.438],[-436.87]
[1.525],[-469.67]
[1.607],[-491.99]
[1.681],[-510.8]
[1.761],[-529.41]
[1.84],[-558.43]
[1.916],[-584.65]
[1.997],[-609.74]
[2.077],[-627.23]
[2.165],[-644.66]
[2.245],[-657.19]
[2.33],[-666.12]
[2.413],[-684.54]
[2.507],[-716.58]
[2.577],[-743.78]
[2.655],[-748.67]
[2.734],[-740.39]
[2.811],[-743.73]
[2.899],[-772.72]
[2.981],[-813.58]
[3.064],[-832.37]
[3.147],[-831.22]
[3.228],[-819.41]
[3.305],[-824.2]
[3.391],[-853.94]
[3.47],[-893.21]
[3.548],[-913.45]
[3.638],[-902.44]
[3.72],[-894.14]
[3.812],[-894.82]
[3.891],[-916.82]
[3.978],[-957.]
[4.059],[-973.64]
[4.141],[-962.64]
[4.216],[-952.4]
[4.302],[-945.38]
[4.378],[-958.46]
[4.461],[-996.46]
[4.546],[-1027.69]
[4.63],[-1020.96]
[4.711],[-999.44]
[4.796],[-981.56]
[4.869],[-987.54]
[4.951],[-1030.62]
[5.032],[-1069.27]
[5.112],[-1061.66]
[5.189],[-1031.88]
[5.274],[-1009.78]
[5.358],[-1013.2]
[5.442],[-1055.27]
[5.529],[-1099.63]
[5.609],[-1097.04]
[5.686],[-1060.32]
[5.768],[-1032.74]
[5.85],[-1033.23]
[5.928],[-1072.66]
[6.012],[-1118.34]
[6.094],[-1115.65]
[6.178],[-1087.36]
[6.261],[-1063.88]
[6.343],[-1052.79]
[6.423],[-1079.65]
[6.504],[-1119.71]
[6.587],[-1129.42]
[6.666],[-1108.79]
[6.748],[-1087.33]
[6.83],[-1061.05]
[6.91],[-1073.43]
[6.993],[-1122.49]
[7.072],[-1148.79]
[7.16],[-1132.96]
[7.245],[-1101.93]
[7.327],[-1069.36]
[7.404],[-1072.78]
[7.49],[-1123.89]
[7.566],[-1160.95]
[7.654],[-1149.52]
[7.734],[-1112.21]
[7.819],[-1076.34]
[7.903],[-1073.39]
[7.986],[-1122.43]
[8.075],[-1161.85]
[8.155],[-1148.08]
[8.236],[-1110.1]
[8.318],[-1087.36]
[8.4],[-1081.68]
[8.48],[-1114.93]
[8.557],[-1146.6]
[8.641],[-1147.39]
[8.724],[-1125.93]
[8.805],[-1105.93]
[8.885],[-1084.48]
[8.961],[-1096.29]
[9.035],[-1134.86]
[9.119],[-1155.66]
[9.196],[-1142.48]
[9.28],[-1116.39]
[9.369],[-1083.17]
[9.452],[-1080.98]
[9.54],[-1127.25]
[9.629],[-1166.75]
[9.72],[-1156.37]
[9.807],[-1117.72]
[9.892],[-1081.82]
[9.968],[-1075.46]
[10.051],[-1116.18]
[10.136],[-1151.39]
[10.212],[-1144.54]
[10.293],[-1110.03]
[10.376],[-1085.78]
[10.458],[-1081.6]
[10.535],[-1103.77]
[10.61],[-1134.7]
[10.689],[-1138.18]
[10.763],[-1116.87]
[10.839],[-1100.35]
[10.921],[-1085.12]
