slip,lateral_force
[0.067],[37.5]
[0.06],[37.96]
[0.06],[37.82]
[0.066],[35.64]
[0.067],[35.81]
[0.064],[37.64]
[0.067],[39.21]
[0.066],[39.47]
[0.061],[36.89]
[0.061],[36.48]
[0.06],[36.56]
[0.067],[39.07]
[0.069],[38.41]
[0.061],[39.39]
[0.069],[37.01]
[0.061],[34.92]
[0.064],[36.37]
[0.058],[37.6]
[0.072],[39.22]
[0.066],[38.52]
[0.07],[36.23]
[0.07],[35.47]
[0.069],[36.77]
[0.067],[37.83]
[0.063],[37.46]
[0.069],[38.51]
[0.072],[38.19]
[0.067],[37.34]
[0.069],[36.26]
[0.067],[36.38]
[0.063],[37.49]
[0.07],[38.74]
[0.07],[39.48]
[0.066],[36.75]
[0.06],[34.81]
[0.069],[36.64]
[0.063],[38.48]
[0.069],[38.79]
[0.064],[37.12]
[0.064],[35.87]
[0.072],[34.74]
[0.061],[35.73]
[0.07],[38.54]
[0.067],[39.53]
[0.067],[37.27]
[-3.94],[571.51]
[-3.94],[591.73]
[-3.941],[578.06]
[-3.937],[547.55]
[-3.943],[540.56]
[-3.937],[545.37]
[-3.943],[567.21]
[-3.945],[587.98]
[-3.938],[581.69]
[-3.935],[553.73]
[-3.944],[542.45]
[-3.941],[544.43]
[-3.944],[566.46]
[-3.94],[590.07]
[-3.934],[585.86]
[-3.941],[555.9]
[-3.944],[543.12]
[-3.94],[546.38]
[-3.935],[564.13]
[-3.938],[588.72]
[-3.934],[586.69]
[-3.934],[561.6]
[-3.94],[544.36]
[-3.943],[543.69]
[-3.94],[559.38]
[-3.938],[585.23]
[-3.94],[588.16]
[-3.937],[563.09]
[-3.935],[543.69]
[-3.94],[543.5]
[-3.94],[554.81]
[-3.935],[579.02]
[-3.941],[586.29]
[-3.937],[565.21]
[-3.944],[542.31]
[-3.934],[539.86]
[-3.934],[550.43]
[-3.944],[575.64]
[-3.941],[588.46]
[-3.932],[568.86]
[-3.94],[543.47]
[-3.934],[541.43]
[-3.941],[546.77]
[-3.943],[572.79]
[-3.928],[586.85]
[-3.935],[570.19]
[-3.932],[546.44]
[-3.935],[539.89]
[-3.943],[544.85]
[-3.934],[567.85]
[-3.934],[587.19]
[-3.935],[575.81]
[-3.938],[547.77]
[-3.935],[537.68]
[-3.943],[542.46]
[-3.935],[564.11]
[-3.934],[584.04]
[-3.935],[577.9]
[-3.918],[548.34]
[-3.907],[535.41]
[-3.878],[536.94]
[-3.85],[551.7]
[-3.812],[573.23]
[-3.78],[569.57]
[-3.735],[542.75]
[-3.697],[524.9]
[-3.66],[521.25]
[-3.628],[535.04]
[-3.584],[558.31]
[-3.539],[559.19]
[-3.479],[528.7]
[-3.434],[504.59]
[-3.378],[500.13]
[-3.315],[512.46]
[-3.248],[529.42]
[-3.184],[531.35]
[-3.105],[506.4]
[-3.032],[482.83]
[-2.956],[473.61]
[-2.877],[479.66]
[-2.788],[495.79]
[-2.709],[498.03]
[-2.621],[474.9]
[-2.539],[451.18]
[-2.468],[441.35]
[-2.384],[436.84]
[-2.304],[443.05]
[-2.222],[445.88]
[-2.146],[433.16]
[-2.061],[412.05]
[-1.975],[395.29]
[-1.893],[383.21]
[-1.808],[384.53]
[-1.735],[388.32]
[-1.643],[381.08]
[-1.569],[360.57]
[-1.484],[339.39]
[-1.397],[324.72]
[-1.317],[320.49]
[-1.235],[323.38]
[-1.153],[315.01]
[-1.069],[294.22]
[-0.982],[269.77]
[-0.896],[251.46]
[-0.811],[246.63]
[-0.724],[243.55]
[-0.64],[231.57]
[-0.569],[208.17]
[-0.478],[190.98]
[-0.405],[176.34]
[-0.332],[158.8]
[-0.241],[148.84]
[-0.167],[137.15]
[-0.083],[116.75]
[-0.001],[99.07]
[0.075],[81.6]
[0.148],[60.15]
[0.224],[44.9]
[0.298],[26.09]
[0.38],[9.88]
[0.462],[-7.22]
[0.548],[-25.32]
[0.632],[-45.36]
[0.705],[-66.29]
[0.797],[-80.19]
[0.87],[-97.03]
[0.957],[-113.75]
[1.028],[-129.61]
[1.115],[-140.61]
[1.19],[-153.75]
[1.269],[-177.14]
[1.352],[-194.69]
[1.44],[-202.39]
[1.525],[-205.45]
[1.596],[-216.49]
[1.68],[-239.11]
[1.761],[-259.02]
[1.843],[-265.15]
[1.918],[-264.01]
[1.992],[-265.19]
[2.076],[-280.59]
[2.159],[-306.01]
[2.248],[-324.75]
[2.33],[-322.95]
[2.413],[-313.55]
[2.489],[-312.87]
[2.574],[-330.26]
[2.647],[-356.86]
[2.729],[-371.41]
[2.813],[-364.87]
[2.899],[-353.85]
[2.979],[-354.7]
[3.058],[-367.75]
[3.143],[-391.19]
[3.235],[-405.33]
[3.314],[-400.84]
[3.388],[-386.4]
[3.469],[-382.07]
[3.549],[-386.26]
[3.64],[-411.93]
[3.719],[-438.2]
[3.802],[-433.36]
[3.888],[-411.46]
[3.973],[-398.91]
[4.052],[-401.57]
[4.134],[-434.2]
[4.22],[-465.03]
[4.295],[-452.69]
[4.378],[-422.06]
[4.464],[-410.09]
[4.546],[-418.19]
[4.63],[-454.06]
[4.71],[-480.91]
[4.787],[-466.71]
[4.869],[-430.2]
[4.954],[-419.73]
[5.034],[-430.91]
[5.121],[-462.9]
[5.195],[-486.59]
[5.276],[-471.88]
[5.352],[-444.9]
[5.436],[-437.59]
[5.524],[-439.93]
[5.6],[-465.03]
[5.692],[-489.83]
[5.765],[-484.24]
[5.846],[-461.3]
[5.928],[-446.36]
[6.011],[-439.27]
[6.094],[-462.72]
[6.175],[-497.39]
[6.259],[-499.04]
[6.341],[-472.3]
[6.423],[-449.64]
[6.511],[-444.3]
[6.584],[-465.43]
[6.667],[-501.95]
[6.746],[-505.82]
[6.825],[-476.21]
[6.913],[-447.4]
[6.993],[-445.42]
[7.078],[-470.57]
[7.161],[-505.22]
[7.246],[-508.52]
[7.328],[-478.3]
[7.408],[-452.93]
[7.489],[-453.68]
[7.575],[-470.57]
[7.657],[-500.]
[7.734],[-502.65]
[7.824],[-481.32]
[7.907],[-461.7]
[7.992],[-457.41]
[8.075],[-463.84]
[8.157],[-490.85]
[8.229],[-501.89]
[8.318],[-489.37]
[8.397],[-466.47]
[8.477],[-456.3]
[8.563],[-455.04]
[8.644],[-481.15]
[8.728],[-504.56]
[8.806],[-496.75]
[8.881],[-469.23]
[8.964],[-450.66]
[9.044],[-451.27]
[9.111],[-478.23]
[9.196],[-503.68]
[9.285],[-497.96]
[9.369],[-468.3]
[9.456],[-449.96]
[9.535],[-451.37]
[9.629],[-474.13]
[9.717],[-501.5]
[9.8],[-494.85]
[9.891],[-468.28]
[9.965],[-453.91]
[10.047],[-459.36]
[10.132],[-464.65]
[10.217],[-481.95]
[10.297],[-489.84]
[10.374],[-476.61]
[10.458],[-460.91]
[10.535],[-451.79]
[10.613],[-450.18]
[10.69],[-476.3]
[10.771],[-493.77]
[10.851],[-485.57]
[10.93],[-465.59]
[11.006],[-450.23]
[11.097],[-445.55]
[11.181],[-468.91]
[11.265],[-497.8]
[11.348],[-492.78]
[11.437],[-464.7]
[11.513],[-443.57]
[11.588],[-447.83]
[11.67],[-467.71]
[11.752],[-492.12]
[11.832],[-490.36]
[11.911],[-467.69]
[12.004],[-451.04]
[12.08],[-452.55]
[12.164],[-459.52]
[12.241],[-480.57]
[12.325],[-489.62]
[12.392],[-477.03]
[12.477],[-460.5]
[12.55],[-451.33]
[12.624],[-443.57]
[12.677],[-464.24]
[12.703],[-475.94]
[12.713],[-475.58]
[12.7],[-485.21]
[12.664],[-493.56]
[12.64],[-463.41]
[12.58],[-431.33]
[12.518],[-451.22]
[12.446],[-499.95]
[12.376],[-504.95]
[12.307],[-462.12]
[12.225],[-425.25]
[12.143],[-442.95]
[12.067],[-493.48]
[11.982],[-507.4]
[11.899],[-482.95]
