slip,lateral_force
[0.057],[76.87]
[0.058],[81.61]
[0.06],[82.28]
[0.063],[80.2]
[0.063],[78.34]
[0.058],[78.45]
[0.061],[79.07]
[0.058],[79.63]
[0.058],[80.19]
[0.063],[84.31]
[0.061],[82.43]
[0.06],[79.81]
[0.061],[77.73]
[0.061],[79.55]
[0.057],[82.91]
[0.061],[84.3]
[0.058],[81.01]
[0.057],[78.43]
[0.058],[77.74]
[0.061],[77.54]
[0.057],[79.52]
[0.061],[82.93]
[0.061],[82.37]
[0.06],[76.35]
[0.061],[74.27]
[0.057],[79.61]
[0.06],[82.95]
[0.057],[82.93]
[0.061],[79.57]
[0.061],[77.69]
[0.058],[78.51]
[0.057],[79.66]
[0.056],[80.25]
[0.06],[80.86]
[0.058],[83.72]
[0.061],[81.83]
[0.058],[79.11]
[0.061],[77.5]
[0.058],[79.53]
[0.06],[82.94]
[0.058],[83.68]
[0.057],[79.76]
[0.058],[78.49]
[0.057],[77.]
[0.056],[80.28]
[-3.928],[1820.73]
[-3.934],[1806.93]
[-3.935],[1804.26]
[-3.934],[1815.33]
[-3.931],[1826.94]
[-3.931],[1828.36]
[-3.932],[1819.27]
[-3.934],[1807.64]
[-3.935],[1802.94]
[-3.935],[1810.48]
[-3.935],[1823.58]
[-3.937],[1828.28]
[-3.934],[1822.06]
[-3.934],[1808.38]
[-3.934],[1796.63]
[-3.935],[1806.33]
[-3.937],[1823.59]
[-3.947],[1828.33]
[-3.934],[1819.3]
[-3.932],[1804.96]
[-3.934],[1797.37]
[-3.937],[1805.67]
[-3.941],[1820.81]
[-3.932],[1826.2]
[-3.932],[1819.31]
[-3.938],[1806.93]
[-3.937],[1797.37]
[-3.935],[1805.]
[-3.938],[1819.47]
[-3.937],[1824.15]
[-3.937],[1817.89]
[-3.951],[1809.66]
[-3.934],[1800.81]
[-3.935],[1800.85]
[-3.937],[1812.55]
[-3.937],[1821.38]
[-3.935],[1820.62]
[-3.94],[1811.73]
[-3.935],[1798.76]
[-3.937],[1795.33]
[-3.931],[1808.43]
[-3.935],[1821.41]
[-3.934],[1822.06]
[-3.937],[1811.]
[-3.934],[1794.49]
[-3.937],[1793.24]
[-3.937],[1808.43]
[-3.931],[1822.14]
[-3.935],[1820.65]
[-3.935],[1808.92]
[-3.934],[1798.]
[-3.931],[1795.26]
[-3.937],[1807.09]
[-3.937],[1818.05]
[-3.935],[1819.97]
[-3.934],[1810.96]
[-3.926],[1800.7]
[-3.928],[1796.76]
[-3.921],[1801.63]
[-3.906],[1809.79]
[-3.877],[1812.4]
[-3.843],[1806.19]
[-3.809],[1790.4]
[-3.771],[1774.]
[-3.732],[1772.63]
[-3.695],[1777.38]
[-3.657],[1775.24]
[-3.624],[1758.57]
[-3.577],[1738.67]
[-3.535],[1720.09]
[-3.484],[1707.74]
[-3.425],[1705.54]
[-3.367],[1704.16]
[-3.307],[1683.27]
[-3.245],[1655.02]
[-3.172],[1621.2]
[-3.093],[1602.67]
[-3.016],[1589.97]
[-2.94],[1583.07]
[-2.856],[1556.6]
[-2.775],[1525.68]
[-2.696],[1487.52]
[-2.609],[1462.79]
[-2.532],[1436.89]
[-2.45],[1420.99]
[-2.368],[1393.09]
[-2.286],[1357.19]
[-2.203],[1317.01]
[-2.124],[1282.55]
[-2.041],[1260.15]
[-1.953],[1233.7]
[-1.874],[1204.54]
[-1.794],[1160.81]
[-1.71],[1125.61]
[-1.627],[1084.72]
[-1.544],[1059.84]
[-1.462],[1018.55]
[-1.38],[992.36]
[-1.3],[946.43]
[-1.216],[912.64]
[-1.13],[866.16]
[-1.045],[834.35]
[-0.966],[791.67]
[-0.88],[764.08]
[-0.797],[723.75]
[-0.713],[679.52]
[-0.639],[630.25]
[-0.558],[587.97]
[-0.478],[551.68]
[-0.403],[512.81]
[-0.32],[480.26]
[-0.235],[431.81]
[-0.153],[383.99]
[-0.076],[342.34]
[0.009],[307.55]
[0.08],[262.41]
[0.158],[219.32]
[0.235],[171.53]
[0.314],[130.12]
[0.396],[85.62]
[0.477],[44.7]
[0.553],[-5.38]
[0.639],[-49.13]
[0.724],[-93.53]
[0.803],[-134.24]
[0.881],[-184.95]
[0.96],[-231.53]
[1.042],[-282.96]
[1.124],[-330.88]
[1.202],[-369.64]
[1.285],[-413.9]
[1.37],[-463.09]
[1.456],[-512.52]
[1.536],[-559.17]
[1.62],[-600.14]
[1.703],[-643.88]
[1.778],[-691.56]
[1.852],[-737.91]
[1.934],[-776.91]
[2.02],[-815.91]
[2.104],[-861.67]
[2.182],[-906.84]
[2.26],[-944.85]
[2.348],[-980.24]
[2.425],[-1014.11]
[2.507],[-1062.31]
[2.589],[-1101.07]
[2.665],[-1144.25]
[2.745],[-1168.86]
[2.823],[-1205.57]
[2.908],[-1241.56]
[2.992],[-1277.85]
[3.074],[-1312.58]
[3.155],[-1345.27]
[3.232],[-1376.35]
[3.314],[-1403.81]
[3.391],[-1445.52]
[3.475],[-1471.18]
[3.552],[-1503.96]
[3.633],[-1526.03]
[3.722],[-1558.73]
[3.807],[-1583.16]
[3.887],[-1624.98]
[3.972],[-1644.41]
[4.052],[-1667.55]
[4.134],[-1689.03]
