slip,lateral_force
[0.064],[120.26]
[0.064],[116.71]
[0.064],[116.85]
[0.064],[118.68]
[0.057],[124.69]
[0.058],[124.44]
[0.073],[119.99]
[0.069],[115.66]
[0.063],[119.63]
[0.069],[121.48]
[0.06],[124.15]
[0.063],[122.31]
[0.058],[120.64]
[0.066],[117.81]
[0.076],[120.4]
[0.06],[121.54]
[0.067],[123.45]
[0.067],[122.82]
[0.063],[121.33]
[0.06],[119.82]
[0.063],[118.78]
[0.066],[118.93]
[0.063],[122.26]
[0.066],[123.4]
[0.066],[123.94]
[0.069],[119.08]
[0.07],[116.1]
[0.063],[116.88]
[0.061],[120.85]
[0.066],[124.19]
[0.063],[124.63]
[0.064],[118.29]
[0.058],[115.31]
[0.063],[119.52]
[0.07],[123.79]
[0.06],[125.1]
[0.064],[121.64]
[0.066],[118.09]
[0.072],[117.92]
[0.061],[118.73]
[0.07],[121.11]
[0.069],[122.46]
[0.063],[120.2]
[0.069],[120.22]
[0.06],[117.85]
[-3.934],[1152.]
[-3.937],[1151.96]
[-3.934],[1138.59]
[-3.934],[1132.77]
[-3.934],[1132.76]
[-3.935],[1138.8]
[-3.938],[1152.01]
[-3.938],[1158.72]
[-3.934],[1145.61]
[-3.937],[1134.83]
[-3.941],[1134.97]
[-3.934],[1141.]
[-3.941],[1151.37]
[-3.937],[1156.89]
[-3.931],[1149.17]
[-3.938],[1138.09]
[-3.912],[1132.84]
[-3.94],[1134.28]
[-3.94],[1146.55]
[-3.937],[1157.35]
[-3.941],[1150.46]
[-3.934],[1137.48]
[-3.941],[1132.92]
[-3.934],[1136.25]
[-3.932],[1149.31]
[-3.932],[1160.12]
[-3.934],[1151.89]
[-3.934],[1140.17]
[-3.94],[1135.51]
[-3.938],[1139.2]
[-3.935],[1145.83]
[-3.943],[1158.36]
[-3.938],[1156.7]
[-3.935],[1142.96]
[-3.932],[1132.58]
[-3.94],[1133.49]
[-3.935],[1146.57]
[-3.943],[1158.98]
[-3.934],[1154.51]
[-3.943],[1142.29]
[-3.934],[1134.2]
[-3.945],[1134.33]
[-3.943],[1144.52]
[-3.94],[1154.8]
[-3.932],[1155.93]
[-3.934],[1142.93]
[-3.963],[1136.25]
[-3.941],[1135.64]
[-3.935],[1143.86]
[-3.94],[1154.87]
[-3.94],[1159.54]
[-3.943],[1149.25]
[-3.934],[1138.85]
[-3.935],[1137.05]
[-3.94],[1140.55]
[-3.935],[1152.15]
[-3.943],[1163.09]
[-3.929],[1153.31]
[-3.926],[1141.15]
[-3.909],[1135.15]
[-3.874],[1139.09]
[-3.852],[1150.92]
[-3.808],[1159.81]
[-3.771],[1149.98]
[-3.735],[1137.6]
[-3.7],[1128.98]
[-3.665],[1123.69]
[-3.621],[1130.4]
[-3.584],[1141.58]
[-3.538],[1136.86]
[-3.491],[1119.27]
[-3.429],[1102.29]
[-3.377],[1097.44]
[-3.312],[1102.86]
[-3.253],[1109.05]
[-3.177],[1098.43]
[-3.112],[1079.39]
[-3.029],[1065.]
[-2.957],[1056.23]
[-2.868],[1051.97]
[-2.788],[1052.]
[-2.71],[1043.41]
[-2.633],[1021.37]
[-2.546],[1002.06]
[-2.469],[987.82]
[-2.383],[976.03]
[-2.308],[967.52]
[-2.218],[949.28]
[-2.136],[933.41]
[-2.058],[917.11]
[-1.978],[898.59]
[-1.897],[873.82]
[-1.802],[856.31]
[-1.725],[845.88]
[-1.64],[825.26]
[-1.567],[803.59]
[-1.482],[771.73]
[-1.396],[750.02]
[-1.314],[729.57]
[-1.225],[716.66]
[-1.145],[692.82]
[-1.051],[662.37]
[-0.972],[633.46]
[-0.884],[606.6]
[-0.803],[587.96]
[-0.718],[563.18]
[-0.63],[535.88]
[-0.555],[500.38]
[-0.474],[476.54]
[-0.399],[444.7]
[-0.316],[424.35]
[-0.231],[391.53]
[-0.156],[363.6]
[-0.07],[338.44]
[0.007],[305.5]
[0.082],[273.75]
[0.164],[237.69]
[0.23],[207.5]
[0.316],[176.04]
[0.392],[153.2]
[0.469],[118.88]
[0.555],[78.92]
[0.64],[42.98]
[0.715],[18.23]
[0.803],[-11.19]
[0.886],[-45.89]
[0.955],[-90.06]
[1.029],[-124.29]
[1.115],[-148.38]
[1.203],[-178.21]
[1.279],[-212.83]
[1.365],[-249.44]
[1.444],[-281.02]
[1.533],[-306.26]
[1.615],[-333.8]
[1.697],[-366.2]
[1.767],[-399.83]
[1.848],[-423.37]
[1.927],[-442.53]
[2.003],[-464.05]
[2.085],[-490.16]
[2.175],[-523.04]
[2.256],[-547.12]
[2.335],[-556.02]
[2.416],[-564.97]
[2.5],[-584.32]
[2.58],[-612.34]
[2.658],[-642.83]
[2.739],[-661.02]
[2.821],[-661.83]
[2.897],[-663.1]
[2.985],[-681.08]
[3.071],[-706.97]
[3.15],[-736.97]
[3.226],[-754.06]
[3.312],[-752.33]
[3.387],[-746.32]
[3.47],[-761.89]
[3.555],[-780.43]
[3.64],[-813.88]
[3.709],[-835.88]
[3.811],[-825.78]
[3.888],[-810.29]
[3.979],[-818.7]
[4.052],[-844.34]
[4.134],[-882.24]
[4.219],[-908.47]
[4.298],[-885.22]
[4.381],[-858.76]
[4.459],[-862.77]
[4.546],[-899.89]
[4.625],[-935.62]
[4.704],[-963.97]
[4.789],[-933.48]
[4.875],[-895.45]
[4.951],[-903.09]
[5.024],[-936.14]
[5.105],[-982.06]
[5.188],[-999.69]
[5.276],[-972.52]
[5.358],[-931.28]
[5.439],[-936.45]
[5.518],[-965.11]
[5.603],[-1010.84]
[5.691],[-1033.01]
[5.762],[-1001.43]
[5.841],[-960.1]
[5.925],[-961.01]
[5.999],[-995.03]
[6.088],[-1032.12]
[6.181],[-1058.93]
[6.257],[-1035.82]
[6.338],[-988.96]
[6.423],[-979.62]
[6.502],[-1005.42]
[6.583],[-1045.82]
[6.667],[-1082.11]
[6.748],[-1060.7]
[6.825],[-996.21]
[6.909],[-985.88]
[6.99],[-1013.54]
[7.074],[-1059.61]
[7.16],[-1093.82]
[7.242],[-1079.08]
[7.328],[-1009.26]
[7.408],[-985.45]
[7.487],[-1014.78]
[7.566],[-1063.05]
[7.656],[-1104.15]
[7.73],[-1094.72]
[7.816],[-1025.68]
[7.904],[-998.75]
[7.984],[-1018.14]
[8.075],[-1064.56]
