slip,lateral_force
[0.073],[36.2]
[0.063],[39.56]
[0.066],[41.83]
[0.072],[37.88]
[0.072],[35.68]
[0.066],[33.71]
[0.072],[34.82]
[0.069],[39.57]
[0.064],[39.29]
[0.067],[37.76]
[0.069],[33.44]
[0.069],[33.76]
[0.075],[36.38]
[0.073],[39.84]
[0.073],[39.94]
[0.072],[37.59]
[0.067],[35.25]
[0.064],[35.79]
[0.072],[37.74]
[0.066],[39.3]
[0.066],[38.8]
[0.07],[41.15]
[0.066],[38.63]
[0.064],[34.73]
[0.072],[36.39]
[0.073],[38.14]
[0.073],[41.66]
[0.076],[40.2]
[0.072],[36.47]
[0.069],[34.71]
[0.066],[35.81]
[0.061],[37.69]
[0.067],[39.76]
[0.067],[39.06]
[0.066],[35.82]
[0.063],[35.2]
[0.064],[33.45]
[0.07],[36.85]
[0.073],[38.67]
[0.075],[39.08]
[0.066],[36.98]
[0.072],[36.48]
[0.067],[35.37]
[0.073],[37.]
[0.066],[38.76]
[-3.932],[545.93]
[-3.932],[534.79]
[-3.934],[546.67]
[-3.938],[584.33]
[-3.934],[608.22]
[-3.934],[590.04]
[-3.929],[549.36]
[-3.934],[531.67]
[-3.94],[541.53]
[-3.934],[580.71]
[-3.94],[608.52]
[-3.932],[595.04]
[-3.941],[554.27]
[-3.941],[534.54]
[-3.938],[540.04]
[-3.94],[573.46]
[-3.935],[605.09]
[-3.943],[598.84]
[-3.937],[560.79]
[-3.932],[536.53]
[-3.944],[536.4]
[-3.934],[564.63]
[-3.934],[600.25]
[-3.943],[603.13]
[-3.937],[568.3]
[-3.937],[538.31]
[-3.941],[533.53]
[-3.932],[557.06]
[-3.937],[596.04]
[-3.935],[606.7]
[-3.938],[576.22]
[-3.941],[542.02]
[-3.935],[534.74]
[-3.938],[553.7]
[-3.934],[591.46]
[-3.932],[606.04]
[-3.937],[578.83]
[-3.932],[543.85]
[-3.944],[534.74]
[-3.934],[548.45]
[-3.938],[582.24]
[-3.938],[606.25]
[-3.935],[588.8]
[-3.932],[551.52]
[-3.94],[533.92]
[-3.937],[542.75]
[-3.935],[578.71]
[-3.935],[605.82]
[-3.938],[593.79]
[-3.941],[555.75]
[-3.931],[534.5]
[-3.935],[537.76]
[-3.935],[570.53]
[-3.931],[605.]
[-3.94],[601.53]
[-3.94],[562.75]
[-3.934],[535.29]
[-3.929],[537.1]
[-3.918],[565.55]
[-3.906],[601.64]
