slip,lateral_force
[0.066],[-4.99]
[0.061],[-6.3]
[0.064],[-6.36]
[0.063],[-8.53]
[0.064],[-7.09]
[0.064],[-6.3]
[0.067],[-6.3]
[0.063],[-7.04]
[0.061],[-4.3]
[0.064],[-6.44]
[0.066],[-5.78]
[0.064],[-5.69]
[0.066],[-5.63]
[0.061],[-3.47]
[0.064],[-4.88]
[0.063],[-8.52]
[0.063],[-7.15]
[0.063],[-3.65]
[0.066],[-3.54]
[0.066],[-6.21]
[0.06],[-6.28]
[0.064],[-5.74]
[0.064],[-7.04]
[0.064],[-8.49]
[0.067],[-5.61]
[0.066],[-4.84]
[0.063],[-5.67]
[0.064],[-7.08]
[0.061],[-9.2]
[0.064],[-5.75]
[0.066],[-6.29]
[0.064],[-4.92]
[0.063],[-5.71]
[0.06],[-6.34]
[0.066],[-5.05]
[0.061],[-7.92]
[0.066],[-7.01]
[0.064],[-4.21]
[0.066],[-3.5]
[0.066],[-4.98]
[0.063],[-8.51]
[0.066],[-8.46]
[0.063],[-5.63]
[0.063],[-4.93]
[0.061],[-5.56]
[-3.938],[942.67]
[-3.94],[943.26]
[-3.938],[967.5]
[-3.94],[998.09]
[-3.944],[1001.]
[-3.94],[971.88]
[-3.937],[945.46]
[-3.944],[939.86]
[-3.938],[958.55]
[-3.938],[991.91]
[-3.94],[1004.47]
[-3.938],[981.62]
[-3.94],[950.95]
[-3.938],[939.84]
[-3.941],[953.71]
[-3.935],[987.03]
[-3.937],[1010.83]
[-3.938],[994.04]
[-3.935],[959.97]
[-3.94],[942.61]
[-3.941],[948.77]
[-3.938],[979.42]
[-3.943],[1009.3]
[-3.94],[1000.25]
[-3.937],[965.54]
[-3.935],[941.9]
[-3.938],[944.72]
[-3.94],[971.7]
[-3.943],[1003.01]
[-3.938],[1000.99]
[-3.94],[968.4]
[-3.943],[943.34]
[-3.935],[939.79]
[-3.94],[961.38]
[-3.94],[993.92]
[-3.934],[1005.77]
[-3.94],[980.84]
[-3.941],[950.36]
[-3.944],[939.16]
[-3.937],[953.71]
[-3.941],[987.69]
[-3.937],[1007.88]
[-3.938],[986.39]
[-3.937],[954.44]
[-3.937],[939.84]
[-3.94],[949.55]
[-3.941],[979.34]
[-3.943],[1005.12]
[-3.938],[997.53]
[-3.938],[964.85]
[-3.937],[942.62]
[-3.938],[946.03]
[-3.943],[975.84]
[-3.94],[1007.17]
[-3.938],[1003.74]
[-3.937],[969.05]
[-3.938],[948.25]
[-3.929],[950.18]
[-3.922],[969.62]
[-3.905],[1002.3]
[-3.878],[1010.71]
[-3.845],[982.26]
[-3.811],[950.33]
[-3.777],[939.78]
[-3.738],[958.59]
[-3.698],[988.41]
[-3.663],[992.61]
[-3.624],[965.58]
[-3.583],[939.22]
[-3.538],[924.58]
[-3.484],[923.2]
[-3.445],[942.68]
[-3.371],[961.47]
[-3.308],[951.11]
[-3.245],[917.07]
[-3.177],[888.54]
[-3.106],[880.22]
[-3.032],[895.48]
[-2.95],[913.53]
[-2.871],[905.2]
[-2.786],[874.15]
[-2.703],[843.43]
[-2.624],[821.25]
[-2.545],[820.56]
[-2.462],[837.23]
[-2.387],[841.52]
[-2.301],[808.92]
[-2.22],[761.79]
[-2.143],[731.86]
[-2.054],[733.87]
[-1.973],[745.03]
[-1.893],[734.77]
[-1.807],[697.27]
[-1.721],[663.25]
[-1.643],[641.15]
[-1.563],[624.4]
[-1.481],[613.92]
[-1.396],[602.28]
[-1.317],[582.24]
[-1.229],[554.47]
[-1.146],[523.94]
[-1.066],[496.24]
[-0.974],[474.61]
[-0.893],[460.82]
[-0.811],[440.8]
[-0.727],[415.91]
[-0.645],[377.75]
[-0.561],[342.95]
[-0.488],[316.42]
[-0.403],[294.4]
[-0.326],[279.3]
[-0.243],[246.03]
[-0.161],[200.84]
[-0.079],[167.67]
[0.003],[141.3]
[0.08],[113.89]
[0.158],[76.8]
[0.237],[40.78]
[0.308],[5.49]
[0.384],[-28.46]
[0.468],[-61.05]
[0.542],[-99.99]
[0.634],[-138.81]
[0.721],[-175.56]
[0.804],[-205.93]
[0.884],[-239.2]
[0.968],[-282.95]
[1.044],[-326.75]
[1.12],[-361.34]
[1.203],[-384.78]
[1.289],[-409.]
[1.37],[-444.32]
[1.456],[-477.74]
[1.536],[-504.13]
[1.618],[-530.41]
[1.703],[-559.46]
[1.778],[-585.76]
[1.855],[-604.5]
[1.935],[-612.11]
[2.014],[-632.24]
[2.09],[-670.29]
[2.178],[-703.63]
[2.263],[-718.1]
[2.342],[-713.9]
[2.428],[-708.39]
[2.506],[-731.19]
[2.584],[-783.32]
[2.662],[-816.59]
[2.738],[-810.9]
[2.817],[-801.96]
[2.9],[-802.53]
[2.981],[-819.88]
[3.07],[-869.29]
[3.15],[-901.22]
[3.234],[-896.83]
[3.308],[-889.17]
[3.39],[-884.44]
[3.47],[-892.06]
[3.548],[-935.14]
[3.633],[-975.98]
[3.72],[-979.36]
[3.801],[-964.8]
[3.891],[-954.4]
[3.973],[-948.84]
[4.052],[-981.45]
[4.135],[-1036.93]
[4.216],[-1046.59]
[4.296],[-1026.47]
[4.377],[-1003.58]
[4.457],[-981.38]
[4.543],[-1019.61]
[4.628],[-1088.97]
[4.709],[-1100.64]
[4.792],[-1068.09]
[4.877],[-1036.98]
[4.953],[-1017.55]
[5.032],[-1052.15]
[5.115],[-1122.95]
[5.198],[-1136.76]
[5.279],[-1097.2]
[5.358],[-1069.39]
[5.444],[-1054.16]
[5.53],[-1070.87]
[5.606],[-1140.24]
[5.694],[-1163.77]
[5.773],[-1126.95]
[5.859],[-1100.61]
[5.931],[-1086.11]
[6.018],[-1081.95]
[6.099],[-1136.12]
[6.181],[-1181.09]
[6.265],[-1160.85]
[6.35],[-1129.03]
[6.432],[-1100.62]
[6.515],[-1080.48]
[6.597],[-1129.14]
[6.673],[-1192.86]
[6.754],[-1183.81]
[6.833],[-1141.44]
[6.911],[-1105.53]
[6.996],[-1081.2]
[7.082],[-1126.95]
[7.161],[-1197.67]
[7.245],[-1195.56]
[7.33],[-1147.7]
[7.41],[-1110.95]
[7.489],[-1088.8]
[7.569],[-1120.76]
[7.654],[-1192.87]
[7.733],[-1198.3]
[7.824],[-1151.11]
[7.904],[-1122.72]
[7.987],[-1104.74]
[8.071],[-1108.97]
[8.151],[-1167.17]
[8.234],[-1194.25]
[8.313],[-1167.15]
[8.395],[-1140.07]
[8.479],[-1116.64]
[8.563],[-1097.18]
[8.641],[-1141.52]
[8.726],[-1197.64]
[8.805],[-1188.67]
[8.891],[-1147.72]
[8.961],[-1112.43]
[9.046],[-1088.87]
[9.12],[-1125.56]
[9.195],[-1194.25]
[9.28],[-1196.95]
